County_FIPS,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black
1001,55136,48.6,51.4,16.3,2.5,76.2,18.4
1003,191205,48.8,51.2,21.9,4.5,83.2,9.3
1005,27119,53.7,46.3,18.9,4.7,46.1,46.2
1007,22653,53.9,46.1,17.5,2.0,74.8,21.1
1009,57645,49.6,50.4,20.1,8.5,88.2,1.5
1011,10693,54.2,45.8,18.5,4.0,22.2,71.4
1013,20523,46.7,53.3,21.3,1.1,53.6,43.7
1015,117186,48.2,51.8,18.8,3.4,73.3,20.6
1017,34091,47.7,52.3,21.0,0.5,57.6,40.2
1019,26042,49.8,50.2,24.0,1.4,91.9,4.8
1021,43781,49.3,50.7,17.6,7.7,80.7,10.1
1023,13546,47.8,52.2,24.2,0.4,55.7,43.2
1025,25331,47.2,52.8,20.6,0.4,53.5,45.0
1027,13617,49.1,50.9,23.1,3.1,80.0,14.6
1029,14990,49.2,50.8,21.7,2.2,92.7,2.9
1031,50726,49.6,50.4,18.2,6.4,71.8,16.9
1033,54491,48.4,51.6,21.7,2.3,79.1,15.9
1035,12985,47.6,52.4,23.7,1.6,51.1,44.8
1037,11247,51.2,48.8,20.9,2.1,65.0,31.3
1039,37881,48.4,51.6,23.3,1.5,83.6,12.8
1041,13938,48.8,51.2,19.9,1.6,70.8,23.5
1043,80668,49.7,50.3,20.6,4.3,92.3,1.1
1045,50013,49.4,50.6,17.1,5.9,70.2,19.1
1047,42743,46.3,53.7,19.1,0.4,28.7,69.6
1049,71074,49.6,50.4,18.8,14.0,81.0,1.7
1051,80321,48.9,51.1,16.3,2.7,74.0,20.5
1053,38042,51.6,48.4,19.7,2.0,60.9,32.4
1055,104126,48.3,51.7,20.4,3.5,78.7,15.3
1057,17019,49.7,50.3,23.9,0.8,85.5,12.2
1059,31663,49.1,50.9,18.8,15.4,78.9,4.4
1061,26816,48.9,51.1,21.9,3.5,84.2,9.5
1063,8798,46.8,53.2,20.7,0.4,17.7,80.7
1065,15393,47.2,52.8,20.4,1.1,39.8,58.3
1067,17270,47.6,52.4,23.6,2.4,68.1,27.7
1069,103079,47.9,52.1,18.5,3.2,68.0,26.0
1071,53012,49.4,50.6,21.4,2.7,89.7,3.2
1073,658834,47.3,52.7,17.0,3.8,51.2,42.1
1075,14268,48.1,51.9,23.2,1.4,86.0,11.6
1077,92780,47.9,52.1,20.9,2.3,85.1,9.9
1079,33835,48.6,51.4,18.9,2.0,76.5,11.1
1081,147790,49.3,50.7,12.6,3.7,68.6,22.9
1083,87167,50.5,49.5,16.6,5.7,77.8,12.7
1085,10918,47.2,52.8,18.9,0.9,25.2,73.5
1087,20505,45.9,54.1,18.9,1.5,15.9,81.1
1089,343229,49.0,51.0,16.1,4.7,65.8,23.7
1091,20489,46.6,53.4,21.6,2.1,45.8,51.1
1093,30527,49.6,50.4,24.3,2.3,92.1,3.5
1095,94121,49.2,50.8,18.9,12.6,83.0,1.8
1097,414045,47.9,52.1,17.2,2.6,58.4,34.9
1099,22509,47.9,52.1,20.3,1.0,54.8,41.7
1101,228850,47.5,52.5,15.6,3.5,37.3,55.4
1103,119744,49.1,50.9,18.5,7.8,77.1,11.9
1105,10203,46.4,53.6,22.5,0.9,29.8,68.4
1107,19629,48.2,51.8,21.9,0.8,55.6,42.7
1109,33216,47.5,52.5,16.1,2.3,57.2,36.4
1111,22724,48.8,51.2,21.3,2.9,75.2,19.9
1113,56980,48.5,51.5,15.5,4.5,50.6,41.4
1115,85242,50.0,50.0,17.8,2.2,86.6,9.3
1117,201168,48.7,51.3,15.1,5.9,79.2,11.4
1119,13433,45.1,54.9,19.0,0.5,24.5,73.0
1121,81673,48.6,51.4,18.6,2.1,64.0,31.8
1123,41295,48.4,51.6,22.2,2.5,69.1,27.4
1125,198670,48.3,51.7,14.1,3.2,63.9,30.3
1127,66211,48.6,51.4,22.0,2.2,89.9,5.5
1129,17137,49.6,50.4,19.3,1.2,65.3,24.0
1131,11367,46.9,53.1,20.7,0.6,27.1,72.1
1133,24256,48.6,51.4,24.6,2.7,94.5,0.5
2013,3296,69.8,30.2,9.2,13.4,13.8,10.1
2016,5650,61.6,38.4,8.8,10.5,28.9,5.1
2020,298178,50.9,49.1,10.9,8.3,61.1,5.6
2050,17576,52.3,47.7,8.3,1.6,11.3,0.7
2060,995,54.6,45.4,9.4,5.6,53.5,0.3
2068,2048,51.8,48.2,8.8,2.4,84.5,1.9
2070,4956,51.8,48.2,10.5,2.6,17.7,0.2
2090,99319,53.2,46.8,9.9,6.9,72.5,4.3
2100,2557,54.6,45.4,18.3,1.3,80.4,0.0
2105,2126,53.2,46.8,21.1,1.8,49.5,0.6
2110,32200,51.5,48.5,12.6,5.9,66.5,1.2
2122,56687,52.3,47.7,16.9,3.5,82.1,0.6
2130,13676,51.8,48.2,14.7,4.7,65.5,0.4
2150,13924,52.7,47.3,10.1,8.1,51.8,0.8
2164,1490,49.2,50.8,9.4,2.1,20.9,0.5
2170,93843,52.1,47.9,11.9,4.2,81.5,0.8
2180,9792,53.4,46.6,9.1,1.7,16.6,0.7
2185,9618,63.5,36.5,7.4,3.3,32.2,0.4
2188,7672,53.6,46.4,8.0,1.5,11.7,0.3
2195,3212,51.8,48.2,16.1,7.5,70.9,2.3
2198,6356,54.5,45.5,14.3,2.9,46.2,0.3
2220,8957,51.0,49.0,16.4,5.6,63.5,1.0
2230,996,50.8,49.2,10.4,3.1,76.9,0.0
2240,7044,55.5,44.5,13.7,4.3,77.5,1.1
2261,9685,53.3,46.7,13.2,4.2,70.4,0.3
2270,7778,52.8,47.2,6.7,0.3,4.0,0.3
2275,2383,50.7,49.3,28.2,1.0,71.2,0.2
2282,635,58.1,41.9,12.0,4.3,37.3,5.8
2290,5651,53.7,46.3,15.4,1.6,21.7,0.3
4001,72142,49.7,50.3,15.5,6.1,19.6,0.6
4003,130807,51.0,49.0,22.3,33.5,57.3,3.7
4005,135817,49.5,50.5,12.9,13.8,54.8,1.3
4007,53242,49.9,50.1,29.2,18.4,64.2,0.5
4009,37311,53.7,46.3,14.7,31.3,52.0,2.0
4011,8800,52.9,47.1,14.6,47.3,47.3,1.4
4012,20348,51.1,48.9,39.9,24.8,60.9,0.2
4013,3947382,49.4,50.6,16.0,29.9,57.8,4.9
4015,202482,50.3,49.7,30.1,15.4,78.7,0.9
4017,107489,49.9,50.1,17.7,11.0,43.0,0.4
4019,993144,49.2,50.8,20.2,35.4,54.1,3.2
4021,390160,52.0,48.0,19.5,29.0,58.1,4.5
4023,47250,47.9,52.1,18.3,82.8,15.7,0.2
4025,213689,48.9,51.1,31.6,13.9,81.4,0.5
4027,201453,50.9,49.1,19.1,60.7,34.0,1.8
5001,18861,48.2,51.8,21.0,2.9,70.5,25.1
5003,21437,48.2,51.8,20.7,5.0,68.0,26.1
5005,41154,48.0,52.0,33.9,1.8,95.4,0.3
5007,232611,49.5,50.5,15.3,15.8,75.5,1.3
5009,37169,48.7,51.3,22.8,2.1,94.6,0.2
5011,11316,48.9,51.1,20.6,13.7,57.3,28.4
5013,5266,52.0,48.0,21.5,0.9,73.2,24.7
5015,27626,48.5,51.5,24.7,13.9,82.3,0.6
5017,11489,48.8,51.2,21.8,5.2,39.6,54.0
5019,22800,47.3,52.7,18.6,4.3,69.8,23.9
5021,15577,49.5,50.5,24.4,1.6,96.3,0.1
5023,25793,49.8,50.2,28.6,2.3,95.3,0.4
5025,8597,49.8,50.2,21.2,0.8,85.1,11.6
5027,24400,47.6,52.4,19.4,2.5,59.2,36.0
5029,21175,49.5,50.5,21.9,3.7,82.1,11.8
5031,99835,48.8,51.2,15.5,4.6,78.9,13.6
5033,61825,49.1,50.9,18.1,6.4,86.2,1.4
5035,50172,47.3,52.7,14.6,2.2,44.7,51.1
5037,17595,47.9,52.1,20.2,1.7,73.9,22.3
5039,7954,50.1,49.9,21.9,2.5,53.9,41.3
5041,12602,46.4,53.6,20.1,4.6,46.5,48.1
5043,18705,48.4,51.6,18.6,2.7,67.2,28.7
5045,117804,49.0,51.0,13.2,4.0,81.8,10.9
5047,17960,49.6,50.4,21.1,2.6,93.1,0.7
5049,12218,49.4,50.6,29.2,1.1,96.0,0.2
5051,96804,48.5,51.5,25.5,5.1,83.4,8.3
5053,18014,49.0,51.0,19.9,2.4,93.4,2.5
5055,42970,49.5,50.5,18.3,2.4,94.8,0.8
5057,22419,47.4,52.6,19.5,12.4,56.0,29.4
5059,33277,51.0,49.0,20.3,3.0,83.3,11.8
5061,13685,48.6,51.4,18.8,10.3,66.5,21.7
5063,36861,49.1,50.9,19.8,5.9,89.4,2.5
5065,13522,51.3,48.7,28.3,1.7,94.4,1.1
5067,17746,49.9,50.1,19.6,2.7,78.0,16.6
5069,74655,49.2,50.8,17.7,1.8,40.8,55.4
5071,25791,49.3,50.7,19.0,12.9,82.2,1.5
5073,7391,48.3,51.7,25.3,1.9,59.7,37.7
5075,17163,49.2,50.8,22.6,1.1,96.3,0.8
5077,10151,56.1,43.9,20.0,2.2,41.1,56.6
5079,14113,61.0,39.0,16.2,3.4,65.3,29.3
5081,12852,49.8,50.2,22.4,3.0,73.7,20.5
5083,22129,49.6,50.4,22.1,2.5,91.8,1.8
5085,70118,49.2,50.8,14.9,3.7,87.3,6.2
5087,15696,49.9,50.1,19.8,5.1,91.3,0.1
5089,16534,49.6,50.4,31.6,2.1,95.1,0.3
5091,43537,49.3,50.7,17.8,2.8,70.1,24.5
5093,45385,48.7,51.3,16.3,3.8,60.0,34.3
5095,7855,48.1,51.9,22.3,2.0,55.3,41.3
5097,9296,49.4,50.6,29.5,3.6,92.0,0.6
5099,8877,49.1,50.9,22.3,3.0,64.4,30.4
5101,8131,50.1,49.9,27.1,1.0,94.5,0.0
5103,25421,47.6,52.4,21.9,1.8,55.9,39.7
