GEO.id,County_FIPS,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
0500000US01001,1001,"Autauga County, Alabama",36490,585,1052,538,3055,929,12691,1610,7292,1387,2517,865,5254,1223,4629,1114
0500000US01003,1003,"Baldwin County, Alabama",143738,771,3095,1004,10124,2057,45574,3529,30000,3538,12545,2232,30163,3686,12237,1800
0500000US01005,1005,"Barbour County, Alabama",18417,501,1815,493,3617,786,7120,1007,2568,695,1260,406,1334,408,703,281
0500000US01007,1007,"Bibb County, Alabama",15342,1423,1022,531,2214,960,7165,862,2650,921,748,462,873,572,670,435
0500000US01009,1009,"Blount County, Alabama",39833,401,2026,927,5288,1196,12903,1517,8752,1376,4670,1163,4271,991,1923,737
0500000US01013,1013,"Butler County, Alabama",12837,1393,1182,615,1374,468,5316,1046,1993,645,1391,533,804,325,777,391
0500000US01015,1015,"Calhoun County, Alabama",78387,720,5366,1310,8741,1796,23578,2420,21155,2562,5986,1330,7585,1362,5976,1265
0500000US01017,1017,"Chambers County, Alabama",23398,634,938,416,3103,851,9571,1224,5725,1079,1965,614,1195,417,901,417
0500000US01019,1019,"Cherokee County, Alabama",16324,1554,1334,576,2342,667,6556,993,3322,904,1039,426,989,369,742,407
0500000US01021,1021,"Chilton County, Alabama",29115,795,2340,951,2543,871,12955,1265,5018,1206,1891,612,2780,687,1588,705
0500000US01025,1025,"Clarke County, Alabama",17700,1703,756,479,2805,828,8140,1394,3085,939,871,564,1041,394,1002,615
0500000US01031,1031,"Coffee County, Alabama",34169,557,1543,495,3028,679,9658,1012,8275,1059,3725,715,5468,1007,2472,617
0500000US01033,1033,"Colbert County, Alabama",38275,518,2094,683,4436,929,15245,1824,7432,1190,2793,844,3899,1051,2376,875
0500000US01039,1039,"Covington County, Alabama",26502,352,2268,590,3980,936,8535,934,6024,1026,2336,596,2435,621,924,404
0500000US01043,1043,"Cullman County, Alabama",56756,281,2803,825,7142,1237,22792,2403,10981,1545,5786,1431,4355,1132,2897,727
0500000US01045,1045,"Dale County, Alabama",34097,515,1479,473,2885,892,10384,1320,9944,1243,3700,972,3247,825,2458,706
0500000US01047,1047,"Dallas County, Alabama",27078,244,1316,391,4630,853,9012,1077,5665,1031,2837,663,2036,615,1582,594
0500000US01049,1049,"DeKalb County, Alabama",47507,645,6869,1108,7703,1526,17399,1590,6431,1113,4345,1166,2371,599,2389,872
0500000US01051,1051,"Elmore County, Alabama",55400,601,3445,1220,5419,1448,18802,2203,10769,1558,5471,1295,7527,1322,3967,882
0500000US01053,1053,"Escambia County, Alabama",25246,700,920,393,4339,917,10731,1232,4049,875,1977,611,2000,649,1230,438
0500000US01055,1055,"Etowah County, Alabama",71551,300,4738,927,6839,1085,22464,2094,19106,2111,6029,1210,7787,1331,4588,1039
0500000US01059,1059,"Franklin County, Alabama",20261,1824,2868,2196,3304,944,6120,1016,3821,781,1786,499,1601,544,761,302
0500000US01061,1061,"Geneva County, Alabama",19413,1392,2274,708,2618,716,6355,965,4591,789,1445,584,1729,558,401,224
0500000US01069,1069,"Houston County, Alabama",71431,253,3000,474,6656,795,22794,1385,17303,960,6485,722,9046,875,6147,752
0500000US01071,1071,"Jackson County, Alabama",37269,552,2354,832,4733,1042,16367,1579,6411,1262,3961,821,2565,643,878,345
0500000US01073,1073,"Jefferson County, Alabama",449424,840,14314,2168,34586,3398,117780,5080,103307,4395,37539,3459,87278,4388,54620,3244
0500000US01077,1077,"Lauderdale County, Alabama",63258,947,3263,978,5758,1308,21307,1779,14559,1695,3515,916,8559,1388,6297,1427
0500000US01079,1079,"Lawrence County, Alabama",23503,155,1035,517,3653,791,10331,1086,3635,850,2063,697,2132,689,654,334
0500000US01081,1081,"Lee County, Alabama",92177,1579,2527,808,5385,1829,21624,2208,24355,2633,6703,1394,18834,2125,12749,1735
0500000US01083,1083,"Limestone County, Alabama",63202,801,3853,1011,6093,1341,19758,2011,12725,1731,4392,1092,9714,1743,6667,1391
0500000US01089,1089,"Madison County, Alabama",240035,517,6114,1230,14695,2161,53324,3765,46287,4007,20351,2454,62494,3232,36770,3137
0500000US01091,1091,"Marengo County, Alabama",12363,1389,1289,543,1048,543,3899,799,2473,820,1168,483,1490,672,996,618
0500000US01093,1093,"Marion County, Alabama",21530,525,1832,678,2524,785,7767,1037,4772,1108,2062,682,1594,525,979,480
0500000US01095,1095,"Marshall County, Alabama",63824,767,5067,1201,8496,1528,18350,2215,15236,1657,5983,1129,6496,1107,4196,1004
0500000US01097,1097,"Mobile County, Alabama",277665,890,9923,1604,30943,3379,89842,4326,61362,3693,20347,2584,45416,2975,19832,2380
0500000US01099,1099,"Monroe County, Alabama",14572,1371,861,370,1914,775,7709,1249,1972,604,691,281,1013,443,412,232
0500000US01101,1101,"Montgomery County, Alabama",148631,583,6250,1192,15371,1875,37535,2898,32107,2233,10436,1360,29246,2435,17686,1689
0500000US01103,1103,"Morgan County, Alabama",82551,930,4729,1271,9692,1786,22899,2464,20349,2239,6546,1530,12763,1977,5573,949
0500000US01107,1107,"Pickens County, Alabama",13449,1386,1027,482,1937,459,5190,865,2655,729,1008,445,1264,437,368,210
0500000US01109,1109,"Pike County, Alabama",19564,942,1130,458,2748,909,6914,1155,3680,773,1271,495,2125,596,1696,724
0500000US01111,1111,"Randolph County, Alabama",15556,823,744,414,2275,742,5233,1121,2891,791,1339,579,2026,761,1048,560
0500000US01113,1113,"Russell County, Alabama",39381,1264,2242,670,4360,1296,10884,1668,10623,1985,4743,1218,3739,1161,2790,1030
0500000US01115,1115,"St. Clair County, Alabama",60420,818,2846,1225,7079,1389,21644,2593,13969,2075,6918,1899,4775,1186,3189,1085
0500000US01117,1117,"Shelby County, Alabama",141017,685,4179,886,7558,1380,30628,2981,30244,2606,11384,1347,39713,2978,17311,1937
0500000US01121,1121,"Talladega County, Alabama",56273,866,4165,1206,9658,1472,18434,1831,10829,1611,4963,1150,5190,1184,3034,1030
0500000US01123,1123,"Tallapoosa County, Alabama",29144,832,1729,569,4443,1235,9481,1298,6192,1165,2378,687,3308,767,1613,428
0500000US01125,1125,"Tuscaloosa County, Alabama",125421,632,4890,1348,11959,1766,37619,2696,24406,2290,7675,1327,25056,2478,13816,1975
0500000US01127,1127,"Walker County, Alabama",45251,359,3135,718,4860,981,18209,1680,10172,1152,4618,1110,2669,894,1588,573
0500000US01133,1133,"Winston County, Alabama",17220,961,1348,550,2509,889,6496,1031,3589,874,1224,459,956,430,1098,489
0500000US02020,2020,"Anchorage Municipality, Alaska",190006,845,5011,1209,5860,1317,45726,3271,50395,2896,15369,2189,41798,3406,25847,2723
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",59492,1119,754,418,2050,811,11616,1640,19304,2117,5254,1431,13486,2072,7028,1429
0500000US02110,2110,"Juneau City and Borough, Alaska",22782,481,263,199,1011,563,4762,867,6154,858,1627,521,5776,781,3189,554
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",39756,450,524,281,1622,545,13048,1353,11284,1270,4150,891,5459,919,3669,702
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",63447,500,938,348,4405,814,20428,1463,19273,1584,5590,742,8235,1182,4578,842
0500000US04001,4001,"Apache County, Arizona",43567,540,4347,687,4715,775,15587,1434,10251,1219,2942,605,3932,827,1793,569
0500000US04003,4003,"Cochise County, Arizona",89293,361,5472,976,6794,1131,20686,1906,28257,2287,10428,1508,11196,1635,6460,1273
0500000US04005,4005,"Coconino County, Arizona",80427,983,3592,675,4879,1092,17869,1617,19146,1948,8352,1385,13804,1890,12785,1710
0500000US04007,4007,"Gila County, Arizona",39683,873,1404,524,3527,798,12960,1577,10244,1412,4298,901,5262,1427,1988,756
0500000US04009,4009,"Graham County, Arizona",22873,844,1417,602,2365,611,6563,1022,7702,1131,2197,575,1494,514,1135,372
0500000US04012,4012,"La Paz County, Arizona",15054,1295,1379,464,2258,792,5876,1019,3377,739,786,387,830,408,548,290
0500000US04013,4013,"Maricopa County, Arizona",2742502,437,168334,7835,195010,7322,632157,12773,680595,12737,226049,7109,539022,9975,301335,7228
0500000US04015,4015,"Mohave County, Arizona",153740,784,5046,1190,17072,2543,59834,3488,42921,3406,10501,1573,11810,1714,6556,1294
0500000US04017,4017,"Navajo County, Arizona",68489,703,3995,746,7102,907,21913,1886,19994,1791,4751,836,6105,948,4629,1032
0500000US04019,4019,"Pima County, Arizona",668691,274,33850,3315,50785,3771,153272,5426,165851,6375,56979,3477,120656,5277,87298,3998
0500000US04021,4021,"Pinal County, Arizona",278655,1126,15297,2212,29798,3739,79800,4925,78750,4305,26354,2533,31291,2730,17365,2352
0500000US04023,4023,"Santa Cruz County, Arizona",29689,720,4221,1075,3548,972,9213,1309,6582,1547,1294,535,2739,776,2092,740
0500000US04025,4025,"Yavapai County, Arizona",169500,435,5509,1365,11129,1871,42265,3563,49203,3235,16548,2295,27509,3188,17337,1848
0500000US04027,4027,"Yuma County, Arizona",128566,478,17321,2684,20374,1783,30530,2416,30645,2278,9886,1542,12728,1806,7082,1494
0500000US05003,5003,"Ashley County, Arkansas",14864,925,1161,678,1720,544,4880,1030,4063,857,925,452,1437,510,678,372
0500000US05005,5005,"Baxter County, Arkansas",31580,346,1014,391,4021,967,9980,1301,7782,1136,3188,910,3687,871,1908,616
0500000US05007,5007,"Benton County, Arkansas",162146,621,8196,1709,12007,1839,48150,3237,32481,2306,8292,1127,34928,2666,18092,2424
0500000US05009,5009,"Boone County, Arkansas",26218,64,1694,591,1829,609,7907,1402,8663,1329,2608,763,2488,739,1029,502
0500000US05015,5015,"Carroll County, Arkansas",20047,542,2055,549,1843,751,6664,1079,4952,947,1261,589,2359,801,913,512
0500000US05019,5019,"Clark County, Arkansas",13695,1224,418,283,737,382,3585,823,3480,976,1371,482,2465,778,1639,583
0500000US05023,5023,"Cleburne County, Arkansas",18608,570,1065,425,1815,649,7769,1146,3959,752,1339,473,1575,557,1086,418
0500000US05027,5027,"Columbia County, Arkansas",16137,839,701,334,1979,606,6592,1118,2846,797,1073,552,1911,556,1035,616
0500000US05029,5029,"Conway County, Arkansas",15072,1071,643,258,1302,492,6741,1135,2694,602,1391,461,1449,540,852,488
0500000US05031,5031,"Craighead County, Arkansas",66273,804,1393,452,5508,1149,22071,2624,16273,2166,4476,1213,10623,1896,5929,1137
0500000US05033,5033,"Crawford County, Arkansas",41478,572,1741,816,3753,888,14774,1974,11462,1635,2808,871,4500,918,2440,916
0500000US05035,5035,"Crittenden County, Arkansas",30837,496,1954,555,3851,805,10636,1229,6717,991,1538,540,4237,839,1904,614
0500000US05045,5045,"Faulkner County, Arkansas",74421,958,1916,599,3884,1002,20539,2312,18740,1951,5884,1342,14153,1766,9305,1629
0500000US05051,5051,"Garland County, Arkansas",69624,699,2691,1000,6069,1426,22093,2533,19925,2074,5359,1282,8118,1422,5369,1126
0500000US05055,5055,"Greene County, Arkansas",29287,386,1318,446,3365,865,14451,1150,5335,1017,1512,552,2259,583,1047,477
0500000US05057,5057,"Hempstead County, Arkansas",15554,1665,1763,721,1639,688,5529,1207,3568,1397,1415,602,1034,510,606,325
0500000US05059,5059,"Hot Spring County, Arkansas",22076,950,1249,512,1692,510,8953,1278,5657,1073,1783,565,1859,699,883,397
