County,Inc_2013,Inc_2014,Inc_2015,Inc_Rank,Pct_Chg_2014,Pct_Chg_2015,Pct_Rank,State,County_FIPS
Autauga,35345.0,36571.0,37773.0,8,3.5,3.3,26,AL,01001
Baldwin,37727.0,39028.0,40121.0,5,3.4,2.8,40,AL,01003
Barbour,30081.0,30197.0,31443.0,46,0.4,4.1,6,AL,01005
Bibb,27375.0,28127.0,29075.0,62,2.7,3.4,22,AL,01007
Blount,29846.0,30946.0,31663.0,42,3.7,2.3,55,AL,01009
Bullock,26008.0,25350.0,25929.0,67,-2.5,2.3,56,AL,01011
Butler,31572.0,32775.0,33518.0,31,3.8,2.3,57,AL,01013
Calhoun,31347.0,32448.0,33418.0,32,3.5,3.0,37,AL,01015
Chambers,29498.0,30271.0,31282.0,48,2.6,3.3,23,AL,01017
Cherokee,30660.0,31688.0,32645.0,35,3.4,3.0,35,AL,01019
Chilton,29508.0,30304.0,31380.0,47,2.7,3.6,15,AL,01021
Choctaw,29135.0,30025.0,31046.0,51,3.1,3.4,19,AL,01023
Clarke,29823.0,31193.0,31877.0,40,4.6,2.2,58,AL,01025
Clay,30484.0,31720.0,32965.0,34,4.1,3.9,11,AL,01027
Cleburne,29942.0,30692.0,31209.0,49,2.5,1.7,61,AL,01029
Coffee,37126.0,37974.0,38929.0,6,2.3,2.5,49,AL,01031
Colbert,33566.0,34957.0,35831.0,17,4.1,2.5,50,AL,01033
Conecuh,28754.0,28624.0,29643.0,59,-0.5,3.6,14,AL,01035
Coosa,26605.0,27340.0,28651.0,65,2.8,4.8,2,AL,01037
Covington,30347.0,31196.0,31581.0,45,2.8,1.2,64,AL,01039
Crenshaw,32065.0,32889.0,34228.0,25,2.6,4.1,7,AL,01041
Cullman,34141.0,34950.0,35923.0,16,2.4,2.8,41,AL,01043
Dale,33416.0,33608.0,34107.0,26,0.6,1.5,63,AL,01045
Dallas,30035.0,30371.0,31595.0,44,1.1,4.0,8,AL,01047
DeKalb,27818.0,28751.0,29621.0,60,3.4,3.0,34,AL,01049
Elmore,35447.0,36334.0,37561.0,10,2.5,3.4,21,AL,01051
Escambia,28743.0,29590.0,30342.0,57,2.9,2.5,48,AL,01053
Etowah,31680.0,32943.0,34086.0,27,4.0,3.5,16,AL,01055
Fayette,28193.0,29109.0,30426.0,56,3.2,4.5,4,AL,01057
Franklin,29425.0,30630.0,31614.0,43,4.1,3.2,28,AL,01059
Geneva,30513.0,31267.0,32155.0,38,2.5,2.8,39,AL,01061
Greene,31793.0,29843.0,31029.0,52,-6.1,4.0,10,AL,01063
Hale,33319.0,33215.0,34726.0,23,-0.3,4.5,3,AL,01065
Henry,34313.0,35044.0,35727.0,19,2.1,1.9,59,AL,01067
Houston,36433.0,37288.0,38284.0,7,2.3,2.7,45,AL,01069
Jackson,32119.0,33084.0,33930.0,29,3.0,2.6,47,AL,01071
Jefferson,44605.0,46426.0,47718.0,2,4.1,2.8,42,AL,01073
Lamar,28944.0,29333.0,30593.0,55,1.3,4.3,5,AL,01075
Lauderdale,32838.0,34341.0,35189.0,22,4.6,2.5,53,AL,01077
Lawrence,31016.0,31964.0,32320.0,37,3.1,1.1,65,AL,01079
Lee,31413.0,32509.0,33622.0,30,3.5,3.4,17,AL,01081
Limestone,35802.0,36360.0,37260.0,11,1.6,2.5,52,AL,01083
Lowndes,35070.0,36519.0,37720.0,9,4.1,3.3,25,AL,01085
Macon,29275.0,30431.0,31191.0,50,3.9,2.5,51,AL,01087
Madison,43391.0,44642.0,45836.0,3,2.9,2.7,44,AL,01089
Marengo,34093.0,35186.0,35761.0,18,3.2,1.6,62,AL,01091
Marion,26918.0,28206.0,28972.0,64,4.8,2.7,43,AL,01093
Marshall,31049.0,32143.0,32996.0,33,3.5,2.7,46,AL,01095
Mobile,33459.0,34190.0,35348.0,20,2.2,3.4,20,AL,01097
Monroe,28855.0,29829.0,30784.0,53,3.4,3.2,29,AL,01099
Montgomery,37961.0,39184.0,40474.0,4,3.2,3.3,24,AL,01101
Morgan,33956.0,35237.0,36345.0,13,3.8,3.1,32,AL,01103
Perry,29336.0,28029.0,29414.0,61,-4.5,4.9,1,AL,01105
Pickens,31570.0,30152.0,30139.0,58,-4.5,0.0,67,AL,01107
Pike,31599.0,33959.0,35323.0,21,7.5,4.0,9,AL,01109
Randolph,29846.0,31581.0,32119.0,39,5.8,1.7,60,AL,01111
Russell,27921.0,27955.0,29001.0,63,0.1,3.7,12,AL,01113
St. Clair,32020.0,33395.0,34400.0,24,4.3,3.0,36,AL,01115
Shelby,45703.0,47730.0,49212.0,1,4.4,3.1,33,AL,01117
Sumter,30379.0,30445.0,30695.0,54,0.2,0.8,66,AL,01119
Talladega,29635.0,30827.0,31805.0,41,4.0,3.2,30,AL,01121
Tallapoosa,34184.0,34756.0,35942.0,15,1.7,3.4,18,AL,01123
Tuscaloosa,33897.0,34994.0,36016.0,14,3.2,2.9,38,AL,01125
Walker,34737.0,35763.0,37056.0,12,3.0,3.6,13,AL,01127
Wilcox,29108.0,27483.0,28128.0,66,-5.6,2.3,54,WA,None
Winston,29720.0,31511.0,32545.0,36,6.0,3.3,27,WA,None
Aleutians East Borough,39481.0,40794.0,49611.0,19,3.3,21.6,1,AK,02013
Aleutians West Census Area,50336.0,52484.0,52569.0,16,4.3,0.2,25,AK,02016
Anchorage Municipality,57265.0,60909.0,62728.0,8,6.4,3.0,12,AK,02020
Bethel Census Area,35750.0,38426.0,39827.0,27,7.5,3.6,10,AK,02050
Bristol Bay Borough,59879.0,63470.0,65769.0,4,6.0,3.6,11,AK,02060
Denali Borough,58736.0,67559.0,67770.0,2,15.0,0.3,22,AK,02068
Dillingham Census Area,47629.0,51861.0,51969.0,17,8.9,0.2,23,AK,02070
Fairbanks North Star Borough,48564.0,51892.0,54185.0,13,6.9,4.4,5,AK,02090
Haines Borough,43593.0,46126.0,47929.0,21,5.8,3.9,6,AK,02100
Hoonah-Angoon Census Area,48984.0,53529.0,53956.0,14,9.3,0.8,21,AK,02105
Juneau City and Borough,58869.0,61600.0,62694.0,9,4.6,1.8,18,AK,02110
Kenai Peninsula Borough,48351.0,51734.0,52639.0,15,7.0,1.7,19,AK,02122
Ketchikan Gateway Borough,58086.0,60957.0,63235.0,7,4.9,3.7,8,AK,02130
Kodiak Island Borough,53256.0,56537.0,58162.0,11,6.2,2.9,14,AK,02150
Kusilvak Census Area,26956.0,30184.0,29896.0,29,12.0,-1.0,27,AK,02158
Lake and Peninsula Borough,50506.0,52172.0,55385.0,12,3.3,6.2,2,AK,02164
Matanuska-Susitna Borough,43486.0,45320.0,46554.0,24,4.2,2.7,15,AK,02170
Nome Census Area,42592.0,47064.0,48805.0,20,10.5,3.7,9,AK,02180
North Slope Borough,32527.0,36005.0,36883.0,28,10.7,2.4,16,AK,02185
Northwest Arctic Borough,41906.0,45849.0,46918.0,23,9.4,2.3,17,AK,02188
Petersburg Borough,62867.0,63866.0,66323.0,3,1.6,3.8,7,AK,02195
Prince of Wales-Hyder Census Area,36775.0,39055.0,40205.0,26,6.2,2.9,13,AK,02198
Sitka City and Borough,62487.0,64202.0,64122.0,5,2.7,-0.1,26,AK,02220
Skagway Municipality,83136.0,84280.0,78171.0,1,1.4,-7.2,29,AK,02230
Southeast Fairbanks Census Area,38642.0,40831.0,43256.0,25,5.7,5.9,3,AK,02240
Valdez-Cordova Census Area,54491.0,59975.0,63236.0,6,10.1,5.4,4,AK,02261
Wrangell City and Borough,42201.0,46830.0,47214.0,22,11.0,0.8,20,AK,02275
Yakutat City and Borough,62187.0,62483.0,60333.0,10,0.5,-3.4,28,AK,02282
Yukon-Koyukuk Census Area,49014.0,51412.0,51496.0,18,4.9,0.2,24,AK,02290
Apache,26851.0,28189.0,29597.0,12,5.0,5.0,3,AZ,04001
Cochise,35424.0,36742.0,38133.0,4,3.7,3.8,7,AZ,04003
Coconino,37553.0,39596.0,41018.0,2,5.4,3.6,8,AZ,04005
Gila,33327.0,34548.0,36066.0,6,3.7,4.4,5,AZ,04007
Graham,27971.0,29326.0,29731.0,11,4.8,1.4,13,AZ,04009
Greenlee,36457.0,37388.0,37240.0,5,2.6,-0.4,15,AZ,04011
La Paz,28511.0,29043.0,29963.0,10,1.9,3.2,10,AZ,04012
Maricopa,39301.0,40939.0,42092.0,1,4.2,2.8,11,AZ,04013
Mohave,26735.0,28248.0,29505.0,13,5.7,4.4,4,AZ,04015
Navajo,26368.0,27672.0,29132.0,14,4.9,5.3,2,AZ,04017
Pima,36548.0,37733.0,38536.0,3,3.2,2.1,12,AZ,04019
Pinal,25835.0,26796.0,27682.0,15,3.7,3.3,9,AZ,04021
Santa Cruz,31354.0,33254.0,33646.0,8,6.1,1.2,14,AZ,04023
Yavapai,32222.0,34231.0,35545.0,7,6.2,3.8,6,AZ,04025
Yuma,29314.0,29262.0,31574.0,9,-0.2,7.9,1,AZ,04027
Ashley,32290.0,31142.0,32013.0,39,-3.6,2.8,14,AR,05003
Baxter,31721.0,33426.0,34751.0,14,5.4,4.0,4,AR,05005
Benton,64305.0,71617.0,71787.0,1,11.4,0.2,53,AR,05007
Boone,30132.0,31789.0,32166.0,38,5.5,1.2,44,AR,05009
Bradley,29343.0,31787.0,32522.0,34,8.3,2.3,25,AR,05011
Calhoun,28321.0,29021.0,30770.0,49,2.5,6.0,1,AR,05013
Carroll,28259.0,31130.0,30526.0,50,10.2,-1.9,73,AR,05015
Chicot,35208.0,32351.0,32289.0,36,-8.1,-0.2,55,AR,05017
Clark,28975.0,30248.0,31021.0,47,4.4,2.6,18,AR,05019
Clay,36027.0,33316.0,32938.0,29,-7.5,-1.1,61,AR,05021
Cleburne,31865.0,33011.0,33379.0,27,3.6,1.1,45,AR,05023
Cleveland,32222.0,34861.0,34987.0,13,8.2,0.4,52,AR,05025
Columbia,31747.0,33435.0,33601.0,24,5.3,0.5,50,AR,05027
Conway,34000.0,36744.0,37053.0,9,8.1,0.8,46,AR,05029
Craighead,33131.0,33899.0,34628.0,15,2.3,2.2,28,AR,05031
Crawford,28529.0,29340.0,29917.0,56,2.8,2.0,29,AR,05033
Crittenden,33199.0,33384.0,34148.0,21,0.6,2.3,26,AR,05035
Cross,35336.0,34994.0,34349.0,18,-1.0,-1.8,72,AR,05037
Dallas,27442.0,28686.0,30068.0,54,4.5,4.8,2,AR,05039
Desha,39200.0,37731.0,37417.0,6,-3.7,-0.8,59,AR,05041
Drew,34289.0,34620.0,35039.0,12,1.0,1.2,41,AR,05043
Faulkner,32514.0,33445.0,34235.0,20,2.9,2.4,23,AR,05045
Franklin,27365.0,29777.0,29961.0,55,8.8,0.6,48,AR,05047
Fulton,24146.0,25739.0,26116.0,72,6.6,1.5,35,AR,05049
Garland,34738.0,36114.0,37090.0,8,4.0,2.7,15,AR,05051
Grant,32282.0,33375.0,34323.0,19,3.4,2.8,11,AR,05053
Greene,30985.0,31042.0,31588.0,42,0.2,1.8,31,AR,05055
Hempstead,27911.0,29758.0,29591.0,59,6.6,-0.6,58,AR,05057
Hot Spring,27250.0,28429.0,29226.0,61,4.3,2.8,13,AR,05059
Howard,29318.0,31732.0,31230.0,45,8.2,-1.6,68,AR,05061
Independence,31032.0,31743.0,32542.0,33,2.3,2.5,19,AR,05063
Izard,27589.0,28338.0,28971.0,62,2.7,2.2,27,AR,05065
Jackson,32535.0,33898.0,34387.0,17,4.2,1.4,36,AR,05067
Jefferson,31285.0,31609.0,32189.0,37,1.0,1.8,30,AR,05069
Johnson,24814.0,26108.0,26218.0,70,5.2,0.4,51,AR,05071
Lafayette,31774.0,33607.0,33437.0,26,5.8,-0.5,56,AR,05073
Lawrence,29521.0,29976.0,30390.0,52,1.5,1.4,39,AR,05075
Lee,30778.0,26366.0,25940.0,74,-14.3,-1.6,70,AR,05077
Lincoln,25777.0,25355.0,25003.0,75,-1.6,-1.4,65,AR,05079
Little River,30352.0,31890.0,32686.0,30,5.1,2.5,20,AR,05081
Logan,31512.0,34486.0,34032.0,22,9.4,-1.3,63,AR,05083
Lonoke,34753.0,34916.0,35413.0,10,0.5,1.4,37,AR,05085
Madison,29009.0,31642.0,31356.0,43,9.1,-0.9,60,AR,05087
Marion,26541.0,27402.0,28695.0,65,3.2,4.7,3,AR,05089
Miller,29206.0,30255.0,31350.0,44,3.6,3.6,6,AR,05091
Monroe,34450.0,34418.0,34618.0,16,-0.1,0.6,49,MS,28095
Montgomery,26160.0,27263.0,27684.0,66,4.2,1.5,34,MS,28097
Newton,24632.0,26266.0,26583.0,69,6.6,1.2,42,NV,None
Ouachita,31643.0,32423.0,33525.0,25,2.5,3.4,7,NV,None
Perry,30443.0,31058.0,31935.0,40,2.0,2.8,12,NV,None
Phillips,32238.0,32276.0,31720.0,41,0.1,-1.7,71,NV,None
Pike,27517.0,29480.0,29898.0,57,7.1,1.4,38,NV,None
Poinsett,31109.0,30116.0,29719.0,58,-3.2,-1.3,64,NV,None
Polk,26802.0,28929.0,28776.0,64,7.9,-0.5,57,NV,None
Pope,31040.0,31939.0,32684.0,31,2.9,2.3,24,NV,None
Prairie,34258.0,33885.0,33346.0,28,-1.1,-1.6,69,NV,None
Pulaski,43231.0,44657.0,45862.0,2,3.3,2.7,16,NV,None
Randolph,29030.0,30150.0,29256.0,60,3.9,-3.0,74,NV,None
St. Francis,26164.0,25191.0,26176.0,71,-3.7,3.9,5,NV,None
Saline,35533.0,36486.0,37360.0,7,2.7,2.4,22,NV,None
Scott,26736.0,28609.0,28790.0,63,7.0,0.6,47,NV,None
Searcy,26096.0,27164.0,27524.0,67,4.1,1.3,40,NV,None
Sebastian,36020.0,37393.0,37983.0,5,3.8,1.6,33,NV,None
Sevier,24405.0,26391.0,26058.0,73,8.1,-1.3,62,NV,None
Sharp,28348.0,30453.0,30957.0,48,7.4,1.7,32,NV,None
Stone,25377.0,27193.0,27516.0,68,7.2,1.2,43,NV,None
Union,44001.0,44854.0,44151.0,3,1.9,-1.6,67,NV,None
Van Buren,27744.0,29495.0,30219.0,53,6.3,2.5,21,NV,None
White,30777.0,31567.0,32398.0,35,2.6,2.6,17,WA,None
Woodruff,33982.0,32754.0,33858.0,23,-3.6,3.4,8,WA,None
Yell,28745.0,30472.0,30441.0,51,6.0,-0.1,54,WA,None
Alameda,54684.0,57842.0,61879.0,7,5.8,7.0,4,CA,06001
Alpine,59025.0,65248.0,69705.0,5,10.5,6.8,7,CA,06003
Amador,38197.0,39823.0,41807.0,32,4.3,5.0,39,CA,06005
Butte,36633.0,37576.0,39971.0,38,2.6,6.4,15,CA,06007
Calaveras,41153.0,43558.0,46289.0,26,5.8,6.3,17,CA,06009
Colusa,47380.0,42693.0,43237.0,31,-9.9,1.3,58,CA,06011
Contra Costa,60776.0,62540.0,66348.0,6,2.9,6.1,22,CA,06013
Del Norte,29561.0,31328.0,33129.0,57,6.0,5.7,24,CA,06015
El Dorado,53958.0,56414.0,59145.0,9,4.6,4.8,42,CA,06017
Fresno,34766.0,36448.0,38323.0,44,4.8,5.1,35,CA,06019
Glenn,38900.0,36893.0,39375.0,41,-5.2,6.7,9,CA,06021
Humboldt,38055.0,39565.0,41525.0,34,4.0,5.0,40,CA,06023
Imperial,32262.0,32035.0,33584.0,56,-0.7,4.8,43,CA,06025
Inyo,47364.0,50557.0,52668.0,19,6.7,4.2,49,CA,06027
Kern,35039.0,36673.0,37355.0,47,4.7,1.9,55,CA,06029
Kings,30127.0,32648.0,33126.0,58,8.4,1.5,57,CA,06031
Lake,34268.0,35764.0,37807.0,45,4.4,5.7,25,CA,06033
Lassen,31495.0,32666.0,34630.0,55,3.7,6.0,23,CA,06035
Los Angeles,48140.0,50730.0,53521.0,16,5.4,5.5,29,CA,06037
Madera,32821.0,34243.0,35165.0,54,4.3,2.7,54,CA,06039
Marin,96868.0,103346.0,109076.0,1,6.7,5.5,28,CA,06041
Mariposa,40411.0,43248.0,46069.0,27,7.0,6.5,12,CA,06043
Mendocino,39738.0,41652.0,43845.0,29,4.8,5.3,33,CA,06045
