County_FIPS,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1001,0,10,70,0,2016,1,,855,10674,10707,10752,95217242,42199322,680960,684,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,22,2.6,355,3.4,389,3.8,409,4.0,4474074,4.9,2350395,5.9,-87155,-11.3,8,1.2
1003,0,10,70,0,2016,1,,5740,65729,66796,69110,543699056,301640185,4228162,622,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,271,5.0,2692,4.3,2716,4.2,2675,4.0,20912856,4.0,15227169,5.3,-1099294,-20.6,-1,-0.2
1005,0,10,70,0,2016,1,,558,7996,7996,7980,68266147,37876625,570948,657,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,0.2,-115,-1.4,-149,-1.8,-265,-3.2,-967101,-1.4,670,0.0,-224258,-28.2,5,0.8
1007,0,10,70,0,2016,1,,338,4147,4131,4213,38888960,17775152,328942,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5,1.5,156,3.9,172,4.3,156,3.8,3771845,10.7,1577911,9.7,-31636,-8.8,43,6.4
1009,0,10,70,0,2016,1,,747,8072,8089,8146,65463160,33394075,416977,622,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,19,2.6,179,2.3,180,2.3,151,1.9,2160695,3.4,1737961,5.5,-96863,-18.9,8,1.3
1011,0,10,70,0,2016,1,,144,2844,2889,2924,22084424,12346640,276772,589,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,1.4,-38,-1.3,-21,-0.7,-43,-1.4,209256,1.0,67301,0.5,-44767,-13.9,13,2.3
1013,0,10,70,0,2016,1,,485,6837,6820,6804,53897004,33095491,599859,608,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,18,3.9,103,1.5,25,0.4,-82,-1.2,1500284,2.9,999653,3.1,-175149,-22.6,16,2.7
1015,0,10,70,0,2016,1,,2497,43099,43219,43670,395065324,170963945,2672782,701,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,40,1.6,-228,-0.5,-336,-0.8,25,0.1,13166922,3.4,2270539,1.3,-759031,-22.1,26,3.9
1017,0,10,70,0,2016,1,,597,7941,8034,8064,67332497,35608598,452706,646,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,14,2.4,35,0.4,59,0.7,67,0.8,1345279,2.0,557255,1.6,-240870,-34.7,8,1.3
1019,0,10,70,0,2016,1,,407,4957,4981,5055,39946277,20816753,321542,615,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-3,-0.7,-85,-1.7,-106,-2.1,-65,-1.3,-109234,-0.3,-370388,-1.7,-221165,-40.8,9,1.5
1021,0,10,70,0,2016,1,,757,9025,9132,9203,74663265,42806957,812318,630,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,10,1.3,-83,-0.9,10,0.1,16,0.2,510906,0.7,731101,1.7,-164457,-16.8,6,1.0
1023,0,10,70,0,2016,1,,287,3283,3300,3322,37429002,17277611,229609,872,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,2.9,-60,-1.8,-4,-0.1,-45,-1.3,-1431389,-3.7,-305180,-1.7,-75388,-24.7,-24,-2.7
1025,0,10,70,0,2016,1,,656,8049,8039,8153,72487813,36433534,465215,690,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-3,-0.5,-129,-1.6,-141,-1.7,-250,-3.0,-1427902,-1.9,-1493191,-3.9,-172940,-27.1,1,0.1
1027,0,10,70,0,2016,1,,212,3860,3869,3901,30893444,17387577,197114,613,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5,2.4,4,0.1,-1,0.0,44,1.1,1156071,3.9,689523,4.1,-130415,-39.8,21,3.5
1029,0,10,70,0,2016,1,,212,2204,2193,2242,21763877,10331069,263223,757,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7,3.4,31,1.4,10,0.5,71,3.3,439309,2.1,-51332,-0.5,-30449,-10.4,3,0.4
1031,0,10,70,0,2016,1,,1062,14916,15055,15052,118995605,70071134,1120459,610,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,21,2.0,-45,-0.3,28,0.2,-54,-0.4,1568894,1.3,1034433,1.5,-288359,-20.5,9,1.5
1033,0,10,70,0,2016,1,,1285,23673,23773,23970,237564914,117479524,2063770,768,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1,-0.1,585,2.5,509,2.2,388,1.6,1833074,0.8,5005153,4.5,-389254,-15.9,-10,-1.3
1035,0,10,70,0,2016,1,,251,3447,3416,3409,27821874,15624851,255950,625,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1,-0.4,-30,-0.9,-60,-1.7,-150,-4.2,277298,1.0,-41711,-0.3,-91105,-26.3,20,3.3
1037,0,10,70,0,2016,1,,120,1292,1299,1312,10992208,5921858,108223,650,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,5.3,17,1.3,29,2.3,26,2.0,434473,4.1,217741,3.8,-13961,-11.4,14,2.2
1039,0,10,70,0,2016,1,,898,12001,11949,12086,97325277,54030825,1305496,623,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,-47,-0.4,-153,-1.3,-12,-0.1,1423219,1.5,134615,0.2,-105699,-7.5,12,2.0
1041,0,10,70,0,2016,1,,259,3737,3755,3905,31864196,19749636,425969,645,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,3.2,29,0.8,33,0.9,135,3.6,1336211,4.4,494172,2.6,-84358,-16.5,16,2.5
1043,0,10,70,0,2016,1,,1795,28531,28380,28582,251979547,137524464,1972756,680,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32,1.8,1683,6.3,1450,5.4,1476,5.4,16533514,7.0,12280560,9.8,-341631,-14.8,8,1.2
1045,0,10,70,0,2016,1,,864,16565,16696,16736,212831212,77678259,1464316,982,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7,0.8,321,2.0,466,2.9,432,2.6,17243615,8.8,5107385,7.0,-108361,-6.9,57,6.2
1047,0,10,70,0,2016,1,,854,12660,12598,12667,110749002,56401626,1318860,674,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,1.1,26,0.2,-196,-1.5,-175,-1.4,1279884,1.2,1256532,2.3,-180963,-12.1,14,2.1
1049,0,10,70,0,2016,1,,1152,20612,20745,20782,169072927,101624264,1385468,628,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,21,1.9,81,0.4,51,0.2,26,0.1,6279679,3.9,2294758,2.3,-678637,-32.9,22,3.6
1051,0,10,70,0,2016,1,,1329,19211,19348,19396,155963313,83758713,1119704,621,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,40,3.1,432,2.3,366,1.9,315,1.7,4309098,2.8,3422790,4.3,-332123,-22.9,5,0.8
1053,0,10,70,0,2016,1,,830,12506,12660,12795,114486151,60648210,890544,696,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,22,2.7,-134,-1.1,6,0.0,-41,-0.3,-1033462,-0.9,2511100,4.3,-229219,-20.5,-3,-0.4
1055,0,10,70,0,2016,1,,2058,35933,36006,36190,304472762,169534557,2413922,650,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11,0.5,1158,3.3,1273,3.7,1187,3.4,7818260,2.6,6118518,3.7,-758897,-23.9,-5,-0.8
1057,0,10,70,0,2016,1,,336,4027,4048,4062,31488308,16370498,209713,599,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,2.8,176,4.6,127,3.2,142,3.6,1194257,3.9,1079344,7.1,-67863,-24.4,1,0.2
1059,0,10,70,0,2016,1,,560,10238,10259,10237,80751691,49677707,970757,606,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,407,4.1,331,3.3,238,2.4,628549,0.8,1070198,2.2,-207804,-17.6,-15,-2.4
1061,0,10,70,0,2016,1,,489,5063,5063,5086,35831842,22371400,250529,544,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4,0.8,218,4.5,258,5.4,190,3.9,-705975,-1.9,328587,1.5,-83899,-25.1,-36,-6.2
1063,0,10,70,0,2016,1,,153,1770,1783,1720,14205437,6545828,141028,622,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,1.3,62,3.6,55,3.2,-12,-0.7,1202527,9.2,555641,9.3,-37831,-21.2,41,7.1
1065,0,10,70,0,2016,1,,266,2713,2735,2717,22447706,10534694,175672,634,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-2,-0.7,-50,-1.8,-25,-0.9,-44,-1.6,-609348,-2.6,-652864,-5.8,-31808,-15.3,-8,-1.2
1067,0,10,70,0,2016,1,,333,3289,3229,3230,28713471,15624156,177711,680,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,1.8,-72,-2.1,-176,-5.2,-158,-4.7,-491193,-1.7,-617379,-3.8,-93837,-34.6,16,2.4
1069,0,10,70,0,2016,1,,2924,45752,45957,46243,443757351,209651618,2869574,742,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,75,2.6,-137,-0.3,-186,-0.4,-251,-0.5,309034,0.1,971473,0.5,-1001010,-25.9,3,0.4
1071,0,10,70,0,2016,1,,965,15923,15877,16142,133243227,76186114,1647590,641,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,12,1.3,-13,-0.1,-126,-0.8,91,0.6,5002085,3.9,3444539,4.7,-499460,-23.3,24,3.9
1073,0,10,70,0,2016,1,,18095,335690,336798,337471,4508680046,1676919703,24309572,1030,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,613,3.5,2170,0.7,2425,0.7,2463,0.7,-127601897,-2.8,11728077,0.7,-6229734,-20.4,-37,-3.5
1075,0,10,70,0,2016,1,,277,3375,3405,3404,30065149,17410567,197368,681,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3,1.1,70,2.1,142,4.4,151,4.6,1169790,4.0,814737,4.9,-53880,-21.4,2,0.3
1077,0,10,70,0,2016,1,,2062,29001,29142,29575,232329094,124404506,1946039,611,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,55,2.7,508,1.8,768,2.7,990,3.5,1764091,0.8,4083718,3.4,-530969,-21.4,-12,-1.9
1079,0,10,70,0,2016,1,,428,4667,4683,4746,37977636,17247663,288453,622,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,112,2.5,125,2.7,126,2.7,1185826,3.2,1072800,6.6,-30545,-9.6,4,0.6
1081,0,10,70,0,2016,1,,3045,54763,55147,55291,485517502,209559065,2876491,678,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,172,6.0,631,1.2,675,1.2,467,0.9,109188,0.0,8453511,4.2,-992303,-25.6,-7,-1.0
1083,0,10,70,0,2016,1,,1401,22611,22911,23159,262922679,106564298,2588937,883,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,51,3.8,802,3.7,615,2.8,229,1.0,27723076,11.8,9130575,9.4,60726,2.4,73,9.0
