"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2016","1","",121301,1882350,1892340,1902619,20716958667,8988411249,143233930,842,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3968,3.4,29761,1.6,29139,1.6,29695,1.6,282733208,1.4,256530011,2.9,-33806650,-19.1,-2,-0.2
"01000","1","10","51","0","2016","1","",1185,52836,52793,52926,1081717099,0,0,1574,"",1.57,1.41,1.41,1.41,1.81,0.00,0.00,1.28,"",1,0.1,-85,-0.2,-206,-0.4,24,0.0,40731680,3.9,0,0.0,0,0.0,61,4.0
"01000","2","10","51","0","2016","1","",1348,93171,94387,94710,1122362400,56070,331,918,"",1.56,1.53,1.52,1.52,1.63,0.00,0.01,1.07,"",-22,-1.6,-352,-0.4,-627,-0.7,-474,-0.5,-5162159,-0.5,70,0.1,-167,-33.5,1,0.1
"01000","3","10","51","0","2016","1","",3712,210192,210922,211765,2011481567,89926016,929345,733,"",1.75,1.10,1.09,1.09,1.11,0.94,1.25,1.02,"",20,0.5,-716,-0.3,-267,-0.1,-100,0.0,17110520,0.9,4006691,4.7,-284630,-23.4,7,1.0
"01000","5","10","51","0","2016","1","",115056,1526151,1534238,1543218,16501397601,8898429163,142304254,827,"",0.98,0.96,0.96,0.96,0.94,1.00,1.00,0.98,"",3969,3.6,30914,2.1,30239,2.0,30245,2.0,230053167,1.4,252523250,2.9,-33521853,-19.1,-5,-0.6
"01000","8","10","96","0","2016","1","",6245,356199,358102,359401,4215561066,89982086,929676,906,"",1.67,1.23,1.22,1.22,1.36,0.73,1.16,1.11,"",-1,0.0,-1153,-0.3,-1100,-0.3,-550,-0.2,52680041,1.3,4006761,4.7,-284797,-23.5,14,1.6
"01001","0","10","70","0","2016","1","",855,10674,10707,10752,95217242,42199322,680960,684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,2.6,355,3.4,389,3.8,409,4.0,4474074,4.9,2350395,5.9,-87155,-11.3,8,1.2
"01001","1","10","71","0","2016","1","",11,80,78,79,964629,0,0,939,"",2.06,0.38,0.37,0.37,0.35,0.00,0.00,0.94,"",0,0.0,-1,-1.2,1,1.3,0,0.0,-136926,-12.4,0,0.0,0,0.0,-134,-12.5
"01001","2","10","71","0","2016","1","",18,572,543,536,5027393,0,0,703,"",2.95,1.65,1.54,1.52,1.59,0.00,0.00,1.01,"",0,0.0,85,17.5,55,11.3,49,10.1,486931,10.7,0,0.0,0,0.0,-14,-2.0
"01001","3","10","71","0","2016","1","",32,1907,1917,1915,16318022,112883,666,656,"",2.15,1.76,1.75,1.74,1.96,0.25,0.19,1.12,"",0,0.0,-12,-0.6,5,0.3,8,0.4,-4864,0.0,10350,10.1,-246,-27.0,0,0.0
