County_FIPS,Electronic,Paper
1000,0.0,1.0
1001,0.0,1.0
1003,0.0,1.0
1005,0.0,1.0
1007,0.0,1.0
1009,0.0,1.0
1011,0.0,1.0
1013,0.0,1.0
1015,0.0,1.0
1017,0.0,1.0
1019,0.0,1.0
1021,0.0,1.0
1023,0.0,1.0
1025,0.0,1.0
1027,0.0,1.0
1029,0.0,1.0
1031,0.0,1.0
1033,0.0,1.0
1035,0.0,1.0
1037,0.0,1.0
1039,0.0,1.0
1041,0.0,1.0
1043,0.0,1.0
1045,0.0,1.0
1047,0.0,1.0
1049,0.0,1.0
1051,0.0,1.0
1053,0.0,1.0
1055,0.0,1.0
1057,0.0,1.0
1059,0.0,1.0
1061,0.0,1.0
1063,0.0,1.0
1065,0.0,1.0
1067,0.0,1.0
1069,0.0,1.0
1071,0.0,1.0
1073,0.0,1.0
1075,0.0,1.0
1077,0.0,1.0
1079,0.0,1.0
1081,0.0,1.0
1083,0.0,1.0
1085,0.0,1.0
1087,0.0,1.0
1089,0.0,1.0
1091,0.0,1.0
1093,0.0,1.0
1095,0.0,1.0
1097,0.0,1.0
1099,0.0,1.0
1101,0.0,1.0
1103,0.0,1.0
1105,0.0,1.0
1107,0.0,1.0
1109,0.0,1.0
1111,0.0,1.0
1113,0.0,1.0
1115,0.0,1.0
1117,0.0,1.0
1119,0.0,1.0
1121,0.0,1.0
1123,0.0,1.0
1125,0.0,1.0
1127,0.0,1.0
1129,0.0,1.0
1131,0.0,1.0
1133,0.0,1.0
2000,0.333333333333,0.666666666667
4000,0.0,1.0
4001,0.0,1.0
4003,0.0,1.0
4005,0.333333333333,0.666666666667
4007,0.0,1.0
4009,0.0,1.0
4011,0.0,1.0
4012,0.5,0.5
4013,0.333333333333,0.666666666667
4015,0.0,1.0
4017,0.0,1.0
4019,0.5,0.5
4021,0.0,1.0
4023,0.0,1.0
4025,0.0,1.0
4027,0.5,0.5
5000,0.0,1.0
5001,0.0,1.0
5003,0.5,0.5
5005,0.5,0.5
5007,0.5,0.5
5009,0.0,1.0
5011,0.5,0.5
5013,0.5,0.5
5015,0.5,0.5
5017,0.0,1.0
5019,0.5,0.5
5021,0.333333333333,0.666666666667
5023,0.333333333333,0.666666666667
5025,0.0,1.0
5027,0.0,1.0
5029,0.333333333333,0.666666666667
5031,0.0,1.0
5033,0.5,0.5
5035,0.5,0.5
5037,0.5,0.5
5039,0.5,0.5
5041,0.333333333333,0.666666666667
5043,0.5,0.5
5045,0.5,0.5
5047,0.5,0.5
5049,0.5,0.5
5051,0.0,1.0
5053,0.5,0.5
5055,0.5,0.5
5057,0.333333333333,0.666666666667
5059,0.5,0.5
5061,0.5,0.5
5063,0.333333333333,0.666666666667
5065,0.5,0.5
5067,0.0,1.0
5069,0.333333333333,0.666666666667
5071,0.5,0.5
5073,0.5,0.5
5075,0.5,0.5
5077,0.5,0.5
5079,0.5,0.5
5081,0.5,0.5
5083,0.5,0.5
5085,0.5,0.5
5087,0.5,0.5
5089,0.5,0.5
5091,0.5,0.5
5093,0.5,0.5
5095,0.5,0.5
5097,0.5,0.5
5099,0.5,0.5
5101,0.5,0.5
5103,0.5,0.5
5105,0.5,0.5
5107,0.5,0.5
5109,0.333333333333,0.666666666667
5111,0.5,0.5
5113,0.5,0.5
5115,0.333333333333,0.666666666667
5117,0.5,0.5
5119,0.333333333333,0.666666666667
5121,0.0,1.0
5123,0.5,0.5
5125,0.5,0.5
5127,0.5,0.5
5129,0.333333333333,0.666666666667
5131,0.0,1.0
5133,0.5,0.5
5135,0.333333333333,0.666666666667
5137,0.5,0.5
5139,0.5,0.5
5141,0.5,0.5
5143,0.0,1.0
5145,0.5,0.5
5147,0.5,0.5
5149,0.0,1.0
6000,0.0,1.0
6001,0.333333333333,0.666666666667
6003,0.5,0.5
6005,0.0,1.0
6007,0.333333333333,0.666666666667
6009,0.0,1.0
6011,0.0,1.0
6013,0.0,1.0
6015,0.0,1.0
6017,0.5,0.5
6019,0.5,0.5
6021,0.0,1.0
6023,0.333333333333,0.666666666667
6025,0.0,1.0
6027,0.5,0.5
6029,0.0,1.0
6031,0.5,0.5
6033,0.5,0.5
6035,0.5,0.5
6037,0.0,1.0
6039,0.5,0.5
6041,0.0,1.0
6043,0.5,0.5
6045,0.5,0.5
6047,0.0,1.0
6049,0.5,0.5
6051,0.5,0.5
6053,0.5,0.5
6055,0.0,1.0
6057,0.333333333333,0.666666666667
6059,0.5,0.5
6061,0.333333333333,0.666666666667
6063,0.5,0.5
6065,0.5,0.5
6067,0.0,1.0
6069,0.5,0.5
6071,0.5,0.5
6073,0.333333333333,0.666666666667
6075,0.333333333333,0.666666666667
6077,0.333333333333,0.666666666667
6079,0.0,1.0
6081,0.5,0.5
6083,0.0,1.0
6085,0.5,0.5
6087,0.5,0.5
6089,0.5,0.5
6091,0.5,0.5
6093,0.0,1.0
6095,0.0,1.0
6097,0.5,0.5
6099,0.0,1.0
6101,0.5,0.5
6103,0.0,1.0
6105,0.5,0.5
6107,0.333333333333,0.666666666667
6109,0.0,1.0
6111,0.333333333333,0.666666666667
6113,0.5,0.5
6115,0.5,0.5
8000,0.0,1.0
8001,0.0,1.0
8003,0.5,0.5
8005,0.0,1.0
8007,0.5,0.5
8009,0.0,1.0
8011,0.5,0.5
8013,0.5,0.5
8014,0.0,1.0
8015,0.0,1.0
8017,0.5,0.5
8019,0.0,1.0
8021,0.5,0.5
8023,0.5,0.5
8025,0.5,0.5
8027,0.5,0.5
8029,0.5,0.5
8031,0.0,1.0
8033,0.5,0.5
8035,0.5,0.5
8037,0.0,1.0
8039,0.5,0.5
8041,0.5,0.5
8043,0.5,0.5
8045,0.5,0.5
8047,0.0,1.0
8049,0.5,0.5
8051,0.0,1.0
8053,0.5,0.5
8055,0.5,0.5
8057,0.5,0.5
8059,0.0,1.0
8061,0.5,0.5
8063,0.5,0.5
8065,0.0,1.0
8067,0.5,0.5
8069,0.5,0.5
8071,0.5,0.5
8073,0.5,0.5
8075,0.0,1.0
8077,0.0,1.0
8079,0.5,0.5
8081,0.5,0.5
8083,0.5,0.5
8085,0.5,0.5
8087,0.5,0.5
8089,0.5,0.5
8091,0.5,0.5
8093,0.0,1.0
8095,0.5,0.5
8097,0.0,1.0
8099,0.5,0.5
8101,0.0,1.0
8103,0.5,0.5
8105,0.5,0.5
8107,0.5,0.5
8109,0.5,0.5
8111,0.5,0.5
8113,0.5,0.5
8115,0.0,1.0
8117,0.5,0.5
8119,0.0,1.0
8121,0.0,1.0
8123,0.5,0.5
8125,0.5,0.5
9000,0.0,1.0
9001,0.0,1.0
9003,0.0,1.0
9005,0.0,1.0
9007,0.0,1.0
9009,0.0,1.0
9011,0.0,1.0
9013,0.0,1.0
9015,0.0,1.0
10000,0.0,1.0
10001,0.5,0.5
10003,0.5,0.5
10005,0.5,0.5
11001,0.0,1.0
12000,0.0,1.0
12001,0.0,1.0
12003,0.0,1.0
12005,0.0,1.0
12007,0.0,1.0
12009,0.0,1.0
12011,0.333333333333,0.666666666667
12013,0.5,0.5
12015,0.333333333333,0.666666666667
12017,0.333333333333,0.666666666667
12019,0.0,1.0
12021,0.333333333333,0.666666666667
12023,0.5,0.5
12027,0.5,0.5
12029,0.5,0.5
12031,0.0,1.0
12033,0.0,1.0
12035,0.333333333333,0.666666666667
12037,0.0,1.0
12039,0.0,1.0
12041,0.5,0.5
12043,0.5,0.5
12045,0.0,1.0
12047,0.0,1.0
12049,0.0,1.0
12051,0.0,1.0
12053,0.0,1.0
12055,0.0,1.0
12057,0.0,1.0
12059,0.0,1.0
12061,0.333333333333,0.666666666667
12063,0.0,1.0
12065,0.5,0.5
12067,0.0,1.0
12069,0.333333333333,0.666666666667
12071,0.0,1.0
12073,0.0,1.0
12075,0.0,1.0
12077,0.0,1.0
12079,0.0,1.0
12081,0.0,1.0
12083,0.0,1.0
12085,0.333333333333,0.666666666667
12086,0.333333333333,0.666666666667
12087,0.0,1.0
12089,0.0,1.0
12091,0.0,1.0
12093,0.5,0.5
12095,0.0,1.0
12097,0.0,1.0
