State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes
de,Kent,R,10,10001,Lee,52%,28562
de,Kent,Democratic,10,10001,Minner,41%,22324
de,Kent,Libertarian,10,10001,Infante,7%,4006
de,New Castle,Democratic,10,10003,Minner,55%,129092
de,New Castle,R,10,10003,Lee,43%,99586
de,New Castle,Libertarian,10,10003,Infante,2%,4945
de,Sussex,R,10,10005,Lee,51%,38967
de,Sussex,Democratic,10,10005,Minner,45%,34271
de,Sussex,Libertarian,10,10005,Infante,4%,3255
in,Adams,R,18,18001,Daniels,63%,8350
in,Adams,Democratic,18,18001,Kernan,36%,4816
in,Adams,Libertarian,18,18001,Gividen,1%,99
in,Allen,R,18,18003,Daniels,57%,73689
in,Allen,Democratic,18,18003,Kernan,42%,53899
in,Allen,Libertarian,18,18003,Gividen,1%,1183
in,Bartholomew,R,18,18005,Daniels,59%,16858
in,Bartholomew,Democratic,18,18005,Kernan,39%,11008
in,Bartholomew,Libertarian,18,18005,Gividen,2%,519
in,Benton,R,18,18007,Daniels,61%,2432
in,Benton,Democratic,18,18007,Kernan,37%,1498
in,Benton,Libertarian,18,18007,Gividen,2%,69
in,Blackford,R,18,18009,Daniels,51%,2741
in,Blackford,Democratic,18,18009,Kernan,48%,2567
in,Blackford,Libertarian,18,18009,Gividen,1%,46
in,Boone,R,18,18011,Daniels,71%,16189
in,Boone,Democratic,18,18011,Kernan,28%,6326
in,Boone,Libertarian,18,18011,Gividen,1%,305
in,Brown,R,18,18013,Daniels,55%,4010
in,Brown,Democratic,18,18013,Kernan,43%,3118
in,Brown,Libertarian,18,18013,Gividen,2%,164
in,Carroll,R,18,18015,Daniels,59%,5090
in,Carroll,Democratic,18,18015,Kernan,40%,3387
in,Carroll,Libertarian,18,18015,Gividen,1%,115
in,Cass,R,18,18017,Daniels,57%,7946
in,Cass,Democratic,18,18017,Kernan,41%,5808
in,Cass,Libertarian,18,18017,Gividen,2%,221
in,Clark,Democratic,18,18019,Kernan,50%,20964
in,Clark,R,18,18019,Daniels,49%,20471
in,Clark,Libertarian,18,18019,Gividen,1%,360
in,Clay,R,18,18021,Daniels,54%,5724
in,Clay,Democratic,18,18021,Kernan,44%,4677
in,Clay,Libertarian,18,18021,Gividen,2%,148
in,Clinton,R,18,18023,Daniels,64%,7537
in,Clinton,Democratic,18,18023,Kernan,35%,4129
in,Clinton,Libertarian,18,18023,Gividen,1%,148
in,Crawford,R,18,18025,Daniels,49%,2231
in,Crawford,Democratic,18,18025,Kernan,50%,2231
in,Crawford,Libertarian,18,18025,Gividen,1%,60
in,Daviess,R,18,18027,Daniels,59%,6223
in,Daviess,Democratic,18,18027,Kernan,39%,4049
in,Daviess,Libertarian,18,18027,Gividen,2%,183
in,DeKalb,R,18,18033,Daniels,60%,9242
in,DeKalb,Democratic,18,18033,Kernan,39%,6012
in,DeKalb,Libertarian,18,18033,Gividen,1%,181
in,Dearborn,R,18,18029,Daniels,61%,12514
in,Dearborn,Democratic,18,18029,Kernan,37%,7573
in,Dearborn,Libertarian,18,18029,Gividen,2%,297
in,Decatur,R,18,18031,Daniels,64%,6355
in,Decatur,Democratic,18,18031,Kernan,35%,3524
in,Decatur,Libertarian,18,18031,Gividen,1%,140
in,Delaware,Democratic,18,18035,Kernan,51%,24132
in,Delaware,R,18,18035,Daniels,48%,22917
in,Delaware,Libertarian,18,18035,Gividen,1%,663
in,Dubois,R,18,18037,Daniels,57%,9385
in,Dubois,Democratic,18,18037,Kernan,42%,6871
in,Dubois,Libertarian,18,18037,Gividen,1%,169
in,Elkhart,R,18,18039,Daniels,63%,38430
in,Elkhart,Democratic,18,18039,Kernan,36%,22406
in,Elkhart,Libertarian,18,18039,Gividen,1%,503
in,Fayette,R,18,18041,Daniels,54%,4981
in,Fayette,Democratic,18,18041,Kernan,45%,4224
in,Fayette,Libertarian,18,18041,Gividen,1%,121
in,Floyd,R,18,18043,Daniels,50%,16869
in,Floyd,Democratic,18,18043,Kernan,49%,16503
in,Floyd,Libertarian,18,18043,Gividen,1%,279
in,Fountain,R,18,18045,Daniels,62%,4786
in,Fountain,Democratic,18,18045,Kernan,37%,2878
in,Fountain,Libertarian,18,18045,Gividen,1%,101
in,Franklin,R,18,18047,Daniels,60%,5822
in,Franklin,Democratic,18,18047,Kernan,39%,3862
in,Franklin,Libertarian,18,18047,Gividen,1%,114
in,Fulton,R,18,18049,Daniels,59%,5103
in,Fulton,Democratic,18,18049,Kernan,40%,3513
in,Fulton,Libertarian,18,18049,Gividen,1%,110
in,Gibson,R,18,18051,Daniels,50%,7289
in,Gibson,Democratic,18,18051,Kernan,49%,7101
in,Gibson,Libertarian,18,18051,Gividen,1%,166
in,Grant,R,18,18053,Daniels,57%,15543
in,Grant,Democratic,18,18053,Kernan,42%,11376
in,Grant,Libertarian,18,18053,Gividen,1%,275
in,Greene,R,18,18055,Daniels,52%,6791
in,Greene,Democratic,18,18055,Kernan,47%,6123
in,Greene,Libertarian,18,18055,Gividen,1%,213
in,Hamilton,R,18,18057,Daniels,73%,76433
in,Hamilton,Democratic,18,18057,Kernan,26%,27316
in,Hamilton,Libertarian,18,18057,Gividen,1%,920
in,Hancock,R,18,18059,Daniels,68%,18825
in,Hancock,Democratic,18,18059,Kernan,31%,8746
in,Hancock,Libertarian,18,18059,Gividen,1%,359
in,Harrison,R,18,18061,Daniels,54%,9242
in,Harrison,Democratic,18,18061,Kernan,45%,7809
in,Harrison,Libertarian,18,18061,Gividen,1%,171
in,Hendricks,R,18,18063,Daniels,69%,35761
in,Hendricks,Democratic,18,18063,Kernan,30%,15691
in,Hendricks,Libertarian,18,18063,Gividen,1%,641
in,Henry,R,18,18065,Daniels,56%,11408
in,Henry,Democratic,18,18065,Kernan,43%,8674
in,Henry,Libertarian,18,18065,Gividen,1%,289
in,Howard,R,18,18067,Daniels,54%,19885
in,Howard,Democratic,18,18067,Kernan,45%,16742
in,Howard,Libertarian,18,18067,Gividen,1%,415
in,Huntington,R,18,18069,Daniels,67%,10484
in,Huntington,Democratic,18,18069,Kernan,32%,4953
in,Huntington,Libertarian,18,18069,Gividen,1%,183
in,Jackson,R,18,18071,Daniels,59%,9587
in,Jackson,Democratic,18,18071,Kernan,40%,6527
in,Jackson,Libertarian,18,18071,Gividen,1%,191
in,Jasper,R,18,18073,Daniels,58%,6781
in,Jasper,Democratic,18,18073,Kernan,40%,4701
in,Jasper,Libertarian,18,18073,Gividen,2%,167
in,Jay,R,18,18075,Daniels,56%,4537
in,Jay,Democratic,18,18075,Kernan,43%,3453
in,Jay,Libertarian,18,18075,Gividen,1%,80
in,Jefferson,R,18,18077,Daniels,51%,6542
in,Jefferson,Democratic,18,18077,Kernan,48%,6109
in,Jefferson,Libertarian,18,18077,Gividen,1%,150
in,Jennings,R,18,18079,Daniels,55%,5806
in,Jennings,Democratic,18,18079,Kernan,43%,4482
in,Jennings,Libertarian,18,18079,Gividen,2%,190
in,Johnson,R,18,18081,Daniels,67%,34269
in,Johnson,Democratic,18,18081,Kernan,32%,16253
in,Johnson,Libertarian,18,18081,Gividen,1%,701
in,Knox,Democratic,18,18083,Kernan,50%,7797
in,Knox,R,18,18083,Daniels,49%,7569
in,Knox,Libertarian,18,18083,Gividen,1%,228
in,Kosciusko,R,18,18085,Daniels,71%,20047
in,Kosciusko,Democratic,18,18085,Kernan,28%,7885
in,Kosciusko,Libertarian,18,18085,Gividen,1%,316
in,LaGrange,R,18,18087,Daniels,64%,5748
in,LaGrange,Democratic,18,18087,Kernan,35%,3171
in,LaGrange,Libertarian,18,18087,Gividen,1%,97
in,LaPorte,Democratic,18,18091,Kernan,59%,25049
in,LaPorte,R,18,18091,Daniels,39%,16234
in,LaPorte,Libertarian,18,18091,Gividen,2%,881
in,Lake,Democratic,18,18089,Kernan,65%,118697
in,Lake,R,18,18089,Daniels,34%,61720
in,Lake,Libertarian,18,18089,Gividen,1%,2617
in,Lawrence,R,18,18093,Daniels,65%,11480
in,Lawrence,Democratic,18,18093,Kernan,34%,5904
in,Lawrence,Libertarian,18,18093,Gividen,1%,257
in,Madison,R,18,18095,Daniels,51%,28142
in,Madison,Democratic,18,18095,Kernan,48%,25972
in,Madison,Libertarian,18,18095,Gividen,1%,623
in,Marion,Democratic,18,18097,Kernan,52%,167097
in,Marion,R,18,18097,Daniels,47%,148825
in,Marion,Libertarian,18,18097,Gividen,1%,3895
in,Marshall,R,18,18099,Daniels,61%,10745
in,Marshall,Democratic,18,18099,Kernan,38%,6756
in,Marshall,Libertarian,18,18099,Gividen,1%,204
in,Martin,R,18,18101,Daniels,54%,2664
in,Martin,Democratic,18,18101,Kernan,44%,2205
in,Martin,Libertarian,18,18101,Gividen,2%,94
in,Miami,R,18,18103,Daniels,61%,8155
in,Miami,Democratic,18,18103,Kernan,38%,5062
in,Miami,Libertarian,18,18103,Gividen,1%,179
in,Monroe,Democratic,18,18105,Kernan,53%,26317
in,Monroe,R,18,18105,Daniels,45%,22031
in,Monroe,Libertarian,18,18105,Gividen,2%,1192
in,Montgomery,R,18,18107,Daniels,66%,9639
in,Montgomery,Democratic,18,18107,Kernan,33%,4711
in,Montgomery,Libertarian,18,18107,Gividen,1%,199
in,Morgan,R,18,18109,Daniels,64%,16716
in,Morgan,Democratic,18,18109,Kernan,34%,8740
in,Morgan,Libertarian,18,18109,Gividen,2%,424
in,Newton,R,18,18111,Daniels,54%,3164
in,Newton,Democratic,18,18111,Kernan,44%,2531
in,Newton,Libertarian,18,18111,Gividen,2%,111
in,Noble,R,18,18113,Daniels,61%,9570
in,Noble,Democratic,18,18113,Kernan,38%,5863
