State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes,,
me,Township 8,D,23,,Obama,47%,,,
me,Township 8,R,23,,McCain,51%,,,
al,Autauga,R,1,1001,McCain,74%,17403,,
al,Autauga,D,1,1001,Obama,26%,6093,,
al,Baldwin,R,1,1003,McCain,76%,61271,,
al,Baldwin,D,1,1003,Obama,24%,19386,,
al,Barbour,R,1,1005,McCain,51%,5866,,
al,Barbour,D,1,1005,Obama,49%,5697,,
al,Bibb,R,1,1007,McCain,73%,6262,,
al,Bibb,D,1,1007,Obama,27%,2299,,
al,Blount,R,1,1009,McCain,84%,20389,,
al,Blount,D,1,1009,Obama,15%,3522,,
al,Bullock,R,1,1011,McCain,26%,1391,,
al,Bullock,D,1,1011,Obama,74%,4011,,
al,Butler,R,1,1013,McCain,57%,5485,,
al,Butler,D,1,1013,Obama,43%,4188,,
al,Calhoun,R,1,1015,McCain,66%,32348,,
al,Calhoun,D,1,1015,Obama,33%,16334,,
al,Chambers,R,1,1017,McCain,54%,8067,,
al,Chambers,D,1,1017,Obama,46%,6799,,
al,Cherokee,R,1,1019,McCain,75%,7298,,
al,Cherokee,D,1,1019,Obama,24%,2306,,
al,Chilton,R,1,1021,McCain,79%,13960,,
al,Chilton,D,1,1021,Obama,21%,3674,,
al,Choctaw,R,1,1023,McCain,54%,4223,,
al,Choctaw,D,1,1023,Obama,46%,3636,,
al,Clarke,R,1,1025,McCain,56%,7466,,
al,Clarke,D,1,1025,Obama,44%,5914,,
al,Clay,R,1,1027,McCain,73%,4984,,
al,Clay,D,1,1027,Obama,26%,1760,,
al,Cleburne,R,1,1029,McCain,81%,5216,,
al,Cleburne,D,1,1029,Obama,18%,1168,,
al,Coffee,R,1,1031,McCain,74%,14919,,
al,Coffee,D,1,1031,Obama,26%,5079,,
al,Colbert,R,1,1033,McCain,60%,14739,,
al,Colbert,D,1,1033,Obama,39%,9703,,
al,Conecuh,R,1,1035,McCain,50%,3470,,
al,Conecuh,D,1,1035,Obama,50%,3429,,
al,Coosa,R,1,1037,McCain,59%,3248,,
al,Coosa,D,1,1037,Obama,41%,2273,,
al,Covington,R,1,1039,McCain,79%,12444,,
al,Covington,D,1,1039,Obama,21%,3240,,
al,Crenshaw,R,1,1041,McCain,69%,4319,,
al,Crenshaw,D,1,1041,Obama,31%,1938,,
al,Cullman,R,1,1043,McCain,82%,28896,,
al,Cullman,D,1,1043,Obama,17%,5864,,
al,Dale,R,1,1045,McCain,72%,13886,,
al,Dale,D,1,1045,Obama,27%,5270,,
al,Dallas,R,1,1047,McCain,33%,6798,,
al,Dallas,D,1,1047,Obama,67%,13986,,
al,DeKalb,R,1,1049,McCain,75%,17957,,
al,DeKalb,D,1,1049,Obama,24%,5658,,
al,Elmore,R,1,1051,McCain,75%,25777,,
al,Elmore,D,1,1051,Obama,25%,8301,,
al,Escambia,R,1,1053,McCain,64%,9375,,
al,Escambia,D,1,1053,Obama,36%,5188,,
al,Etowah,R,1,1055,McCain,69%,30595,,
al,Etowah,D,1,1055,Obama,30%,13497,,
al,Fayette,R,1,1057,McCain,74%,5883,,
al,Fayette,D,1,1057,Obama,25%,1994,,
al,Franklin,R,1,1059,McCain,69%,8048,,
al,Franklin,D,1,1059,Obama,30%,3469,,
al,Geneva,R,1,1061,McCain,81%,9417,,
al,Geneva,D,1,1061,Obama,19%,2134,,
al,Greene,R,1,1063,McCain,17%,876,,
al,Greene,D,1,1063,Obama,83%,4408,,
al,Hale,R,1,1065,McCain,39%,3200,,
al,Hale,D,1,1065,Obama,61%,4982,,
al,Henry,R,1,1067,McCain,65%,5585,,
al,Henry,D,1,1067,Obama,35%,3018,,
al,Houston,R,1,1069,McCain,70%,29254,,
al,Houston,D,1,1069,Obama,30%,12225,,
al,Jackson,R,1,1071,McCain,68%,14083,,
al,Jackson,D,1,1071,Obama,31%,6374,,
al,Jefferson,R,1,1073,McCain,47%,149921,,
al,Jefferson,D,1,1073,Obama,52%,166121,,
al,Lamar,R,1,1075,McCain,77%,5419,,
al,Lamar,D,1,1075,Obama,23%,1614,,
al,Lauderdale,R,1,1077,McCain,63%,24068,,
al,Lauderdale,D,1,1077,Obama,35%,13329,,
al,Lawrence,R,1,1079,McCain,64%,9277,,
al,Lawrence,D,1,1079,Obama,35%,5164,,
al,Lee,R,1,1081,McCain,60%,32230,,
al,Lee,D,1,1081,Obama,40%,21498,,
al,Limestone,R,1,1083,McCain,71%,23598,,
al,Limestone,D,1,1083,Obama,29%,9536,,
al,Lowndes,R,1,1085,McCain,25%,1809,,
al,Lowndes,D,1,1085,Obama,75%,5449,,
al,Macon,R,1,1087,McCain,13%,1396,,
al,Macon,D,1,1087,Obama,87%,9450,,
al,Madison,R,1,1089,McCain,57%,86965,,
al,Madison,D,1,1089,Obama,42%,64117,,
al,Marengo,R,1,1091,McCain,48%,5516,,
al,Marengo,D,1,1091,Obama,52%,5926,,
al,Marion,R,1,1093,McCain,78%,9536,,
al,Marion,D,1,1093,Obama,21%,2600,,
al,Marshall,R,1,1095,McCain,78%,25727,,
al,Marshall,D,1,1095,Obama,21%,7038,,
al,Mobile,R,1,1097,McCain,54%,98049,,
al,Mobile,D,1,1097,Obama,46%,82181,,
al,Monroe,R,1,1099,McCain,55%,6175,,
al,Monroe,D,1,1099,Obama,45%,5025,,
al,Montgomery,R,1,1101,McCain,40%,42031,,
