State,County,Party,St_FIPS,County_FIPS,Candidate,Votes,Percentage
ak,At-Large,GOP,02,,,Winner D. Young (i),64.4%,   156994
ak,At-Large,Dem,02,,,S. Cissna,28.6%,    69723
ak,At-Large,Lib,02,,,J. McDermott,5.1%,    12532
ak,At-Large,NPD,02,,,T. Gianoutsos,1.9%,     4614
al,1st District,GOP,01,,,Winner J. Bonner (i),0.0%,        0
al,2nd District,GOP,01,,,Winner M. Roby (i),63.7%,   180339
al,2nd District,Dem,01,,,T. Ford,36.3%,   102836
al,3rd District,GOP,01,,,Winner M. Rogers (i),64.1%,   174931
al,3rd District,Dem,01,,,J. Harris,35.9%,    97868
al,4th District,GOP,01,,,Winner R. Aderholt (i),74.0%,   197736
al,4th District,Dem,01,,,D. Boman,26.0%,    69427
al,5th District,GOP,01,,,Winner M. Brooks (i),65.0%,   188833
al,5th District,Dem,01,,,C. Holley,35.0%,   101504
al,6th District,GOP,01,,,Winner S. Bachus (i),71.4%,   215966
al,6th District,Dem,01,,,P. Bailey,28.6%,    86698
al,7th District,Dem,01,,,Winner T. Sewell (i),75.8%,   230077
al,7th District,GOP,01,,,D. Chamberlain,24.2%,    73292
ar,1st District,GOP,05,,,Winner R. Crawford (i),56.4%,   137668
ar,1st District,Dem,05,,,S. Ellington,39.0%,    95244
ar,1st District,Lib,05,,,J. Paxton,2.6%,     6371
ar,1st District,Grn,05,,,J. Holloway,2.0%,     4975
ar,2nd District,GOP,05,,,Winner T. Griffin (i),55.2%,   157978
ar,2nd District,Dem,05,,,H. Rule,39.5%,   112934
ar,2nd District,Grn,05,,,B. Ward,3.0%,     8543
ar,2nd District,Lib,05,,,C. Hayes,2.3%,     6688
ar,3rd District,GOP,05,,,Winner S. Womack (i),75.8%,   179732
ar,3rd District,Grn,05,,,R. Kennedy,16.1%,    38244
ar,3rd District,Lib,05,,,D. Pangrac,8.1%,    19116
ar,4th District,GOP,05,,,Winner T. Cotton,59.5%,   153096
ar,4th District,Dem,05,,,G. Jeffress,36.7%,    94505
ar,4th District,Grn,05,,,J. Drake,1.9%,     4975
ar,4th District,Lib,05,,,B. Tullis,1.9%,     4944
az,1st District,Dem,04,,,Winner A. Kirkpatrick,48.6%,   117422
az,1st District,GOP,04,,,J. Paton,45.4%,   109508
az,1st District,Lib,04,,,K. Allen,6.0%,    14450
az,2nd District,Dem,04,,,Winner R. Barber (i),50.1%,   137993
az,2nd District,GOP,04,,,M. McSally,49.9%,   137339
az,3rd District,Dem,04,,,Winner R. Grijalva (i),57.8%,    89278
az,3rd District,GOP,04,,,G. Saucedo Mercer,37.7%,    58258
az,3rd District,Lib,04,,,B. Guerra,4.4%,     6808
az,4th District,GOP,04,,,Winner P. Gosar (i),67.0%,   156369
az,4th District,Dem,04,,,J. Robinson,28.3%,    66064
az,4th District,Lib,04,,,J. Pamelia,3.7%,     8746
az,4th District,AmE,04,,,R. Grayson,1.0%,     2219
az,5th District,GOP,04,,,Winner M. Salmon,67.6%,   166897
az,5th District,Dem,04,,,S. Morgan,32.4%,    79966
az,6th District,GOP,04,,,Winner D. Schweikert (i),61.6%,   163755
az,6th District,Dem,04,,,M. Jette,33.2%,    88151
az,6th District,Lib,04,,,J. Anderson,3.3%,     8886
az,6th District,Grn,04,,,M. Salazar,1.8%,     4837
az,7th District,Dem,04,,,Winner E. Pastor (i),81.2%,    89543
az,7th District,Lib,04,,,J. Cobb,18.8%,    20721
az,8th District,GOP,04,,,Winner T. Franks (i),63.7%,   157517
az,8th District,Dem,04,,,G. Scharer,34.8%,    86047
az,8th District,AmE,04,,,S. Dolgos,1.5%,     3806
az,9th District,Dem,04,,,Winner K. Sinema,48.3%,   108056
az,9th District,GOP,04,,,V. Parker,45.2%,   101089
az,9th District,Lib,04,,,P. Gammill,6.4%,    14361
ca,1st District,GOP,06,,,Winner D. La Malfa,58.1%,   139404
ca,1st District,Dem,06,,,J. Reed,41.9%,   100394
ca,2nd District,Dem,06,,,Winner J. Huffman,70.4%,   169637
ca,2nd District,GOP,06,,,D. Roberts,29.6%,    71258
ca,3rd District,Dem,06,,,Winner J. Garamendi (i),53.9%,   105831
ca,3rd District,GOP,06,,,K. Vann,46.1%,    90489
ca,4th District,GOP,06,,,Winner T. McClintock (i),61.2%,   166291
ca,4th District,Dem,06,,,J. Uppal,38.8%,   105496
ca,5th District,Dem,06,,,Winner M. Thompson (i),74.2%,   157220
ca,5th District,GOP,06,,,R. Loftin,25.8%,    54671
ca,6th District,Dem,06,,,Winner D. Matsui (i),74.6%,   135081
ca,6th District,GOP,06,,,J. McCray,25.4%,    45928
ca,7th District,Dem,06,,,Winner A. Bera,50.8%,   119726
ca,7th District,GOP,06,,,D. Lungren (i),49.2%,   115902
ca,8th District,GOP,06,,,Winner P. Cook,57.6%,    95962
ca,8th District,GOP,06,,,G. Imus,42.4%,    70608
ca,9th District,Dem,06,,,Winner J. McNerney (i),54.7%,   103044
ca,9th District,GOP,06,,,R. Gill,45.3%,    85345
ca,10th District,GOP,06,,,Winner J. Denham (i),53.5%,   103342
ca,10th District,Dem,06,,,J. Hernandez,46.5%,    89718
ca,11th District,Dem,06,,,Winner G. Miller (i),69.1%,   165830
ca,11th District,GOP,06,,,V. Fuller,30.9%,    74017
ca,12th District,Dem,06,,,Winner N. Pelosi (i),84.9%,   237116
ca,12th District,GOP,06,,,J. Dennis,15.1%,    42102
ca,13th District,Dem,06,,,Winner B. Lee (i),86.6%,   241902
ca,13th District,NPD,06,,,M. Singleton,13.4%,    37311
ca,14th District,Dem,06,,,Winner J. Speier (i),74.2%,   150716
ca,14th District,GOP,06,,,D. Bacigalupi,25.8%,    52465
ca,15th District,Dem,06,,,Winner E. Swalwell,52.2%,   115694
ca,15th District,Dem,06,,,P. Stark (i),47.8%,   105872
ca,16th District,Dem,06,,,Winner J. Costa (i),55.1%,    60535
ca,16th District,GOP,06,,,B. Whelan,44.9%,    49421
ca,17th District,Dem,06,,,Winner M. Honda (i),73.3%,   145371
ca,17th District,GOP,06,,,E. Li,26.7%,    52869
ca,18th District,Dem,06,,,Winner A. Eshoo (i),70.2%,   185882
ca,18th District,GOP,06,,,D. Chapman,29.8%,    79014
ca,19th District,Dem,06,,,Winner Z. Lofgren (i),72.9%,   147918
ca,19th District,GOP,06,,,R. Murray,27.1%,    54986
ca,20th District,Dem,06,,,Winner S. Farr (i),72.8%,   113536
ca,20th District,GOP,06,,,J. Taylor,27.2%,    42325
ca,21st District,GOP,06,,,Winner D. Valadao,58.9%,    55130
ca,21st District,Dem,06,,,J. Hernandez,41.1%,    38402
ca,22nd District,GOP,06,,,Winner D. Nunes (i),62.9%,    99973
ca,22nd District,Dem,06,,,O. Lee,37.1%,    59036
ca,23rd District,GOP,06,,,Winner K. McCarthy (i),73.9%,   144477
ca,23rd District,NPD,06,,,T. Phillips,26.1%,    51101
ca,24th District,Dem,06,,,Winner L. Capps (i),54.8%,   143317
ca,24th District,GOP,06,,,A. Maldonado,45.2%,   118225
ca,25th District,GOP,06,,,Winner B. McKeon (i),55.6%,   111938
ca,25th District,Dem,06,,,L. Rogers,44.4%,    89460
ca,26th District,Dem,06,,,Winner J. Brownley,52.0%,   120881
ca,26th District,GOP,06,,,T. Strickland,48.0%,   111562
ca,27th District,Dem,06,,,Winner J. Chu (i),63.3%,   134239
ca,27th District,GOP,06,,,J. Orswell,36.7%,    77817
ca,28th District,Dem,06,,,Winner A. Schiff (i),75.7%,   154348
ca,28th District,GOP,06,,,P. Jennerjahn,24.3%,    49501
ca,29th District,Dem,06,,,Winner T. Cardenas,74.0%,    86848
ca,29th District,NPD,06,,,D. Hernandez,26.0%,    30463
ca,30th District,Dem,06,,,Winner B. Sherman (i),60.4%,   117374
ca,30th District,Dem,06,,,H. Berman (i),39.6%,    77003
ca,31st District,GOP,06,,,Winner G. Miller (i),55.2%,    82212
ca,31st District,GOP,06,,,B. Dutton,44.8%,    66603
ca,32nd District,Dem,06,,,Winner G. Napolitano (i),64.9%,   105219
ca,32nd District,GOP,06,,,D. Miller,35.1%,    56994
ca,33rd District,Dem,06,,,Winner H. Waxman (i),53.2%,   142142
ca,33rd District,NPD,06,,,B. Bloomfield,46.8%,   124881
ca,34th District,Dem,06,,,Winner X. Becerra (i),85.4%,    94835
ca,34th District,GOP,06,,,S. Smith,14.6%,    16171
ca,35th District,Dem,06,,,Winner G. McLeod,55.9%,    72562
ca,35th District,Dem,06,,,J. Baca (i),44.1%,    57304
ca,36th District,Dem,06,,,Winner R. Ruiz,51.9%,    98843
ca,36th District,GOP,06,,,M. Bono Mack (i),48.1%,    91507
ca,37th District,Dem,06,,,Winner K. Bass (i),86.3%,   162856
ca,37th District,GOP,06,,,M. Osborne,13.7%,    25925
ca,38th District,Dem,06,,,Winner L. Sanchez (i),66.7%,   124503
ca,38th District,GOP,06,,,B. Campos,33.3%,    62041
ca,39th District,GOP,06,,,Winner E. Royce (i),58.8%,   135261
ca,39th District,Dem,06,,,J. Chen,41.2%,    94683
ca,40th District,Dem,06,,,Winner L. Roybal-Allard (i),59.6%,    62640
ca,40th District,Dem,06,,,D. Sanchez,40.4%,    42472
ca,41st District,Dem,06,,,Winner M. Takano,57.6%,    89599
ca,41st District,GOP,06,,,J. Tavaglione,42.4%,    65990
ca,42nd District,GOP,06,,,Winner K. Calvert (i),61.1%,   117407
ca,42nd District,Dem,06,,,M. Williamson,38.9%,    74776
ca,43rd District,Dem,06,,,Winner M. Waters (i),70.4%,   114887
ca,43rd District,Dem,06,,,B. Flores,29.6%,    48271
ca,44th District,Dem,06,,,Winner J. Hahn (i),60.1%,    82577
ca,44th District,Dem,06,,,L. Richardson (i),39.9%,    54852
ca,45th District,GOP,06,,,Winner J. Campbell (i),59.1%,   161469
ca,45th District,Dem,06,,,S. Kang,40.9%,   111837
ca,46th District,Dem,06,,,Winner L. Sanchez (i),61.8%,    80605
ca,46th District,GOP,06,,,J. Hayden,38.2%,    49814
ca,47th District,Dem,06,,,Winner A. Lowenthal,55.3%,   111529
ca,47th District,GOP,06,,,G. Delong,44.7%,    90060
ca,48th District,GOP,06,,,Winner D. Rohrabacher (i),61.3%,   164244
ca,48th District,Dem,06,,,R. Varasteh,38.7%,   103547
ca,49th District,GOP,06,,,Winner D. Issa (i),58.8%,   139127
ca,49th District,Dem,06,,,J. Tetalman,41.2%,    97454
ca,50th District,GOP,06,,,Winner D. Hunter (i),68.2%,   150369
ca,50th District,Dem,06,,,D. Secor,31.8%,    70228
ca,51st District,Dem,06,,,Winner J. Vargas,70.0%,    85672
ca,51st District,GOP,06,,,M. Crimmins,30.0%,    36649
ca,52nd District,Dem,06,,,Winner S. Peters,50.5%,   124746
ca,52nd District,GOP,06,,,B. Bilbray (i),49.5%,   122086
ca,53rd District,Dem,06,,,Winner S. Davis (i),60.6%,   135014
ca,53rd District,GOP,06,,,N. Popaditch,39.4%,    87950
co,1st District,Dem,08,,,Winner D. DeGette (i),68.1%,   225138
co,1st District,GOP,08,,,D. Stroud,27.0%,    89297
co,1st District,Lib,08,,,F. Atwood,3.5%,    11623
co,1st District,Grn,08,,,G. Swing,1.3%,     4422
co,2nd District,Dem,08,,,Winner J. Polis (i),56.0%,   222367
co,2nd District,GOP,08,,,K. Lundberg,38.6%,   153305
co,2nd District,Lib,08,,,R. Luallin,3.1%,    12376
co,2nd District,Grn,08,,,S. Hall,2.4%,     9346
co,3rd District,GOP,08,,,Winner S. Tipton (i),53.5%,   179745
co,3rd District,Dem,08,,,S. Pace,41.1%,   138242
co,3rd District,Una,08,,,T. Casida,3.1%,    10538
co,3rd District,Lib,08,,,G. Gilman,2.3%,     7758
co,4th District,GOP,08,,,Winner C. Gardner (i),58.6%,   189757
co,4th District,Dem,08,,,B. Shaffer,36.7%,   118920
co,4th District,Lib,08,,,J. Gilliland,3.0%,     9776
co,4th District,AmC,08,,,D. Aden,1.7%,     5423
co,5th District,GOP,08,,,Winner D. Lamborn (i),65.3%,   191198
co,5th District,Una,08,,,D. Anderson,17.4%,    50876
co,5th District,Lib,08,,,J. Pirtle,7.3%,    21373
co,5th District,Grn,08,,,M. Luzov,5.9%,    17218
co,5th District,AmC,08,,,K. Harvell,4.2%,    12324
co,6th District,GOP,08,,,Winner M. Coffman (i),48.7%,   150587
co,6th District,Dem,08,,,J. Miklosi,45.1%,   139439
co,6th District,Una,08,,,K. Polhemus,3.8%,    11901
co,6th District,Lib,08,,,P. Provost,2.4%,     7465
co,7th District,Dem,08,,,Winner E. Perlmutter (i),53.3%,   171874
co,7th District,GOP,08,,,J. Coors,41.2%,   132727
co,7th District,AmC,08,,,D. Campbell,3.0%,     9517
co,7th District,Lib,08,,,B. Bailey,2.6%,     8404
ct,1st District,Dem,09,,,Winner J. Larson (i),69.6%,   203159
ct,1st District,GOP,09,,,J. Decker,27.8%,    81246
ct,1st District,Grn,09,,,M. DeRosa,1.8%,     5387
ct,1st District,PEC,09,,,M. Corey,0.8%,     2270
ct,2nd District,Dem,09,,,Winner J. Courtney (i),68.3%,   204490
ct,2nd District,GOP,09,,,P. Formica,29.3%,    87715
ct,2nd District,Grn,09,,,C. Bennett,1.2%,     3645
ct,2nd District,Lib,09,,,D. Reale,1.2%,     3520
ct,3rd District,Dem,09,,,Winner R. DeLauro (i),74.6%,   215702
ct,3rd District,GOP,09,,,W. Winsley,25.4%,    73633
ct,4th District,Dem,09,,,Winner J. Himes (i),59.8%,   171403
ct,4th District,GOP,09,,,S. Obsitnik,40.2%,   115052
ct,5th District,Dem,09,,,Winner E. Esty,51.5%,   142912
ct,5th District,GOP,09,,,A. Roraback,48.5%,   134489
de,At-Large,Dem,10,,,Winner J. Carney (i),64.4%,   249905
de,At-Large,GOP,10,,,T. Kovach,33.4%,   129749
de,At-Large,Grn,10,,,B. August,1.1%,     4273
de,At-Large,Lib,10,,,S. Gesty,1.1%,     4096
fl,1st District,GOP,12,,,Winner J. Miller (i),69.6%,   238363
fl,1st District,Dem,12,,,J. Bryan,27.1%,    92907
fl,1st District,Lib,12,,,C. Fretts,3.3%,    11165
fl,2nd District,GOP,12,,,Winner S. Southerland (i),52.7%,   175842
fl,2nd District,Dem,12,,,A. Lawson,47.3%,   157599
fl,3rd District,GOP,12,,,Winner T. Yoho,64.7%,   204285
fl,3rd District,Dem,12,,,J. Gaillot,32.5%,   102427
fl,3rd District,NPA,12,,,P. Dodds,2.8%,     8866
fl,4th District,GOP,12,,,Winner A. Crenshaw (i),76.1%,   239953
fl,4th District,NPA,12,,,J. Klauder,23.9%,    75229
fl,5th District,Dem,12,,,Winner C. Brown (i),70.8%,   190650
fl,5th District,GOP,12,,,L. Kolb,26.3%,    70766
fl,5th District,NPA,12,,,E. Fleming,3.0%,     7986
fl,6th District,GOP,12,,,Winner R. DeSantis,57.2%,   195933
fl,6th District,Dem,12,,,H. Beaven,42.8%,   146447
fl,7th District,GOP,12,,,Winner J. Mica (i),58.7%,   185569
fl,7th District,Dem,12,,,J. Kendall,41.3%,   130509
fl,8th District,GOP,12,,,Winner B. Posey (i),58.9%,   205357
fl,8th District,Dem,12,,,S. Roberts,37.5%,   130808
fl,8th District,NPA,12,,,R. Gillmor,3.6%,    12600
fl,9th District,Dem,12,,,Winner A. Grayson,62.5%,   165098
fl,9th District,GOP,12,,,T. Long,37.5%,    98984
fl,10th District,GOP,12,,,Winner D. Webster (i),51.8%,   164873
fl,10th District,Dem,12,,,V. Demings,48.2%,   153646
fl,11th District,GOP,12,,,Winner R. Nugent (i),64.5%,   218315
fl,11th District,Dem,12,,,D. Werder,35.5%,   120253
fl,12th District,GOP,12,,,Winner G. Bilirakis (i),63.5%,   209484
fl,12th District,Dem,12,,,J. Snow,32.9%,   108663
fl,12th District,NPA,12,,,J. Russell,2.1%,     6865
fl,12th District,NPA,12,,,P. Elliott,1.5%,     4914
fl,13th District,GOP,12,,,Winner B. Young (i),57.6%,   189552
fl,13th District,Dem,12,,,J. Ehrlich,42.4%,   139671
fl,14th District,Dem,12,,,Winner K. Castor (i),70.3%,   196993
fl,14th District,GOP,12,,,E. Otero,29.7%,    83385
fl,15th District,GOP,12,,,Winner D. Ross (i),0.0%,        0
fl,16th District,GOP,12,,,Winner V. Buchanan (i),53.6%,   187123
fl,16th District,Dem,12,,,K. Fitzgerald,46.4%,   161875
fl,17th District,GOP,12,,,Winner T. Rooney (i),58.6%,   165439
fl,17th District,Dem,12,,,W. Bronson,41.4%,   116730
fl,18th District,Dem,12,,,Winner P. Murphy,50.3%,   166223
fl,18th District,GOP,12,,,A. West (i),49.7%,   164316
fl,19th District,GOP,12,,,Winner T. Radel,62.0%,   189771
fl,19th District,Dem,12,,,J. Roach,35.8%,   109685
fl,19th District,NPA,12,,,B. Smith,2.2%,     6630
fl,20th District,Dem,12,,,Winner A. Hastings (i),87.9%,   214245
fl,20th District,NPA,12,,,R. Terry,12.1%,    29481
fl,21st District,Dem,12,,,Winner T. Deutch (i),77.8%,   221188
fl,21st District,NPA,12,,,M. Trout,13.3%,    37764
fl,21st District,NPA,12,,,C. Henao,8.9%,    25358
fl,22nd District,Dem,12,,,Winner L. Frankel,54.6%,   170899
fl,22nd District,GOP,12,,,A. Hasner,45.4%,   141946
fl,23rd District,Dem,12,,,Winner D. Wasserman Schultz (i),63.2%,   174071
fl,23rd District,GOP,12,,,K. Harrington,35.6%,    98024
fl,23rd District,NPA,12,,,I. Katz,1.1%,     3124
fl,24th District,Dem,12,,,Winner F. Wilson (i),0.0%,        0
fl,25th District,GOP,12,,,Winner M. Diaz-Balart (i),75.7%,   151361
fl,25th District,NPA,12,,,S. Blumenthal,15.8%,    31628
fl,25th District,NPA,12,,,VoteForEddie.com,8.5%,    17081
fl,26th District,Dem,12,,,Winner J. Garcia,53.6%,   135551
fl,26th District,GOP,12,,,D. Rivera (i),43.0%,   108737
fl,26th District,NPA,12,,,A. Fernandez,2.3%,     5721
fl,26th District,NPA,12,,,J. Peixoto,1.1%,     2715
fl,27th District,GOP,12,,,Winner I. Ros-Lehtinen (i),60.2%,   138345
fl,27th District,Dem,12,,,M. Yevancey,36.9%,    84899
fl,27th District,NPA,12,,,T. Cruz-Wiggins,2.9%,     6653
ga,1st District,GOP,13,,,Winner J. Kingston (i),63.0%,   156958
ga,1st District,Dem,13,,,L. Messinger,37.0%,    92173
ga,2nd District,Dem,13,,,Winner S. Bishop (i),63.7%,   162244
ga,2nd District,GOP,13,,,J. House,36.3%,    92275
ga,3rd District,GOP,13,,,Winner L. Westmoreland (i),0.0%,        0
ga,4th District,Dem,13,,,Winner H. Johnson (i),73.6%,   208395
ga,4th District,GOP,13,,,J. Vaughn,26.4%,    74909
ga,5th District,Dem,13,,,Winner J. Lewis (i),84.3%,   230271
ga,5th District,GOP,13,,,H. Stopeck,15.7%,    42751
ga,6th District,GOP,13,,,Winner T. Price (i),64.5%,   187299
ga,6th District,Dem,13,,,J. Kazanow,35.5%,   102914
ga,7th District,GOP,13,,,Winner R. Woodall (i),62.2%,   156484
ga,7th District,Dem,13,,,S. Reilly,37.8%,    95056
ga,8th District,GOP,13,,,Winner A. Scott (i),0.0%,        0
ga,9th District,GOP,13,,,Winner D. Collins,76.2%,   190456
ga,9th District,Dem,13,,,J. Cooley,23.8%,    59449
ga,10th District,GOP,13,,,Winner P. Broun (i),0.0%,        0
ga,11th District,GOP,13,,,Winner P. Gingrey (i),68.6%,   196512
ga,11th District,Dem,13,,,P. Thompson,31.4%,    89892
ga,12th District,Dem,13,,,Winner J. Barrow (i),53.7%,   138965
ga,12th District,GOP,13,,,L. Anderson,46.3%,   119857
ga,13th District,Dem,13,,,Winner D. Scott (i),71.7%,   200670
ga,13th District,GOP,13,,,S. Malik,28.3%,    79201
ga,14th District,GOP,13,,,Winner T. Graves (i),73.0%,   159698
ga,14th District,Dem,13,,,D. Grant,27.0%,    59098
hi,1st District,Dem,15,,,Winner C. Hanabusa (i),54.6%,   114756
hi,1st District,GOP,15,,,C. Djou,45.4%,    95431
hi,2nd District,Dem,15,,,Winner T. Gabbard,80.6%,   167085
hi,2nd District,GOP,15,,,K. Crowley,19.4%,    40285
ia,1st District,Dem,19,,,Winner B. Braley (i),56.9%,   220795
ia,1st District,GOP,19,,,B. Lange,41.7%,   161864
ia,1st District,Ind,19,,,G. Hughes,1.2%,     4739
ia,1st District,Ind,19,,,G. Krail,0.2%,      932
ia,2nd District,Dem,19,,,Winner D. Loebsack (i),55.4%,   209551
ia,2nd District,GOP,19,,,J. Archer,42.5%,   160717
ia,2nd District,Ind,19,,,A. Aversa,2.2%,     8238
ia,3rd District,GOP,19,,,Winner T. Latham (i),52.3%,   201457
ia,3rd District,Dem,19,,,L. Boswell (i),43.6%,   167965
ia,3rd District,Ind,19,,,S. Batcher,2.4%,     9319
ia,3rd District,SWP,19,,,D. Rosenfeld,1.6%,     6261
ia,4th District,GOP,19,,,Winner S. King (i),53.2%,   200831
ia,4th District,Dem,19,,,C. Vilsack,44.6%,   168323
ia,4th District,Ind,19,,,M. Monroe,2.1%,     8067
id,1st District,GOP,16,,,Winner R. Labrador (i),63.0%,   199445
id,1st District,Dem,16,,,J. Farris,30.8%,    97403
id,1st District,Lib,16,,,R. Oates,3.9%,    12264
id,1st District,Ind,16,,,Pro-Life,2.4%,     7600
id,2nd District,GOP,16,,,Winner M. Simpson (i),65.2%,   207244
id,2nd District,Dem,16,,,N. LeFavour,34.8%,   110817
il,1st District,Dem,17,,,Winner B. Rush (i),73.9%,   225098
il,1st District,GOP,17,,,D. Peloquin,26.1%,    79947
il,2nd District,Dem,17,,,Winner J. Jackson, Jr. (i),63.1%,   181067
il,2nd District,GOP,17,,,B. Woodworth,23.4%,    67396
il,2nd District,Ind,17,,,M. Lewis,13.5%,    38733
il,3rd District,Dem,17,,,Winner D. Lipinski (i),68.5%,   160925
il,3rd District,GOP,17,,,R. Grabowski,31.5%,    74357
il,4th District,Dem,17,,,Winner L. Gutierrez (i),83.3%,   128385
il,4th District,GOP,17,,,H. Concepcion,16.7%,    25749
il,5th District,Dem,17,,,Winner M. Quigley (i),65.6%,   168530
il,5th District,GOP,17,,,D. Schmitt,28.7%,    73860
il,5th District,Grn,17,,,N. Wade,5.7%,    14555
il,6th District,GOP,17,,,Winner P. Roskam (i),59.2%,   191255
