State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes
ak,Final Results County,GOP,2,,Donald Trump,52.88%,130415
ak,Final Results County,Dem,2,,Hillary Clinton,37.71%,93007
ak,Final Results County,Lib,2,,Gary Johnson,5.91%,14593
ak,Final Results County,Grn,2,,Jill Stein,1.80%,4445
ak,Final Results County,CST,2,,Darrell Castle,1.27%,3156
ak,Final Results County,NPA,2,,Rocky De La Fuente,0.39%,972
ak,Alaska County,GOP,2,,Donald Trump,52.88%,130415
ak,Alaska County,Dem,2,,Hillary Clinton,37.71%,93007
ak,Alaska County,Lib,2,,Gary Johnson,5.91%,14593
ak,Alaska County,Grn,2,,Jill Stein,1.80%,4445
ak,Alaska County,CST,2,,Darrell Castle,1.27%,3156
ak,Alaska County,NPA,2,,Rocky De La Fuente,0.39%,972
al,Autauga County,GOP,1,1001,Donald Trump,73.43%,18110
al,Autauga County,Dem,1,1001,Hillary Clinton,23.95%,5908
al,Autauga County,Ind,1,1001,Gary Johnson,2.18%,538
al,Autauga County,Ind,1,1001,Jill Stein,0.42%,105
al,Baldwin County,GOP,1,1003,Donald Trump,77.35%,72780
al,Baldwin County,Dem,1,1003,Hillary Clinton,19.56%,18409
al,Baldwin County,Ind,1,1003,Gary Johnson,2.60%,2448
al,Baldwin County,Ind,1,1003,Jill Stein,0.48%,453
al,Barbour County,GOP,1,1005,Donald Trump,52.27%,5431
al,Barbour County,Dem,1,1005,Hillary Clinton,46.66%,4848
al,Barbour County,Ind,1,1005,Gary Johnson,0.89%,93
al,Barbour County,Ind,1,1005,Jill Stein,0.17%,18
al,Bibb County,GOP,1,1007,Donald Trump,76.96%,6733
al,Bibb County,Dem,1,1007,Hillary Clinton,21.42%,1874
al,Bibb County,Ind,1,1007,Gary Johnson,1.41%,124
al,Bibb County,Ind,1,1007,Jill Stein,0.19%,17
al,Blount County,GOP,1,1009,Donald Trump,89.85%,22808
al,Blount County,Dem,1,1009,Hillary Clinton,8.46%,2150
al,Blount County,Ind,1,1009,Gary Johnson,1.32%,337
al,Blount County,Ind,1,1009,Jill Stein,0.35%,89
al,Bullock County,Dem,1,1011,Hillary Clinton,75.09%,3530
al,Bullock County,GOP,1,1011,Donald Trump,24.22%,1139
al,Bullock County,Ind,1,1011,Gary Johnson,0.46%,22
al,Bullock County,Ind,1,1011,Jill Stein,0.21%,10
al,Butler County,GOP,1,1013,Donald Trump,56.31%,4891
al,Butler County,Dem,1,1013,Hillary Clinton,42.78%,3716
al,Butler County,Ind,1,1013,Gary Johnson,0.74%,65
al,Butler County,Ind,1,1013,Jill Stein,0.14%,13
al,Calhoun County,GOP,1,1015,Donald Trump,69.23%,32803
al,Calhoun County,Dem,1,1015,Hillary Clinton,27.85%,13197
al,Calhoun County,Ind,1,1015,Gary Johnson,2.35%,1114
al,Calhoun County,Ind,1,1015,Jill Stein,0.55%,262
al,Chambers County,GOP,1,1017,Donald Trump,56.63%,7803
al,Chambers County,Dem,1,1017,Hillary Clinton,41.82%,5763
al,Chambers County,Ind,1,1017,Gary Johnson,1.21%,168
al,Chambers County,Ind,1,1017,Jill Stein,0.31%,44
al,Cherokee County,GOP,1,1019,Donald Trump,83.87%,8809
al,Cherokee County,Dem,1,1019,Hillary Clinton,14.51%,1524
al,Cherokee County,Ind,1,1019,Gary Johnson,1.38%,145
al,Cherokee County,Ind,1,1019,Jill Stein,0.23%,25
al,Chilton County,GOP,1,1021,Donald Trump,82.54%,15068
al,Chilton County,Dem,1,1021,Hillary Clinton,15.93%,2909
