State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes
ak,Alaska County,R,2,,Lisa Murkowski,44.26,111382
ak,Alaska County,Lib,2,,Joe Miller,29.5,74245
ak,Alaska County,NPA,2,,Margaret Stock,13.74,34579
ak,Alaska County,D,2,,Ray Metcalfe,11.13,28026
ak,Alaska County,NPA,2,,Breck Craig,0.8,2027
ak,Alaska County,NPA,2,,Ted Gianoutsos,0.55,1385
al,Autauga County,R,1,1001,Richard Shelby,74.24,18132
al,Autauga County,D,1,1001,Ron Crumpton,25.75,6290
al,Baldwin County,R,1,1003,Richard Shelby,79.46,73904
al,Baldwin County,D,1,1003,Ron Crumpton,20.53,19098
al,Barbour County,R,1,1005,Richard Shelby,53.21,5411
al,Barbour County,D,1,1005,Ron Crumpton,46.78,4757
al,Bibb County,R,1,1007,Richard Shelby,76.05,6609
al,Bibb County,D,1,1007,Ron Crumpton,23.94,2081
al,Blount County,R,1,1009,Richard Shelby,88.14,22117
al,Blount County,D,1,1009,Ron Crumpton,11.85,2974
al,Bullock County,D,1,1011,Ron Crumpton,74.26,3364
al,Bullock County,R,1,1011,Richard Shelby,25.73,1166
al,Butler County,R,1,1013,Richard Shelby,56.92,4828
al,Butler County,D,1,1013,Ron Crumpton,43.07,3653
al,Calhoun County,R,1,1015,Richard Shelby,70,32917
al,Calhoun County,D,1,1015,Ron Crumpton,29.99,14106
al,Chambers County,R,1,1017,Richard Shelby,57.32,7825
al,Chambers County,D,1,1017,Ron Crumpton,42.67,5825
al,Cherokee County,R,1,1019,Richard Shelby,81.78,8493
al,Cherokee County,D,1,1019,Ron Crumpton,18.21,1891
al,Chilton County,R,1,1021,Richard Shelby,81.41,14568
al,Chilton County,D,1,1021,Ron Crumpton,18.58,3326
al,Choctaw County,R,1,1023,Richard Shelby,57.38,4029
al,Choctaw County,D,1,1023,Ron Crumpton,42.61,2992
al,Clarke County,R,1,1025,Richard Shelby,56.34,7127
al,Clarke County,D,1,1025,Ron Crumpton,43.65,5522
al,Clay County,R,1,1027,Richard Shelby,78.88,5131
al,Clay County,D,1,1027,Ron Crumpton,21.11,1373
al,Cleburne County,R,1,1029,Richard Shelby,86.73,5530
al,Cleburne County,D,1,1029,Ron Crumpton,13.26,846
al,Coffee County,R,1,1031,Richard Shelby,77.81,15691
al,Coffee County,D,1,1031,Ron Crumpton,22.18,4473
al,Colbert County,R,1,1033,Richard Shelby,65.28,15837
al,Colbert County,D,1,1033,Ron Crumpton,34.71,8423
al,Conecuh County,R,1,1035,Richard Shelby,52.3,3288
al,Conecuh County,D,1,1035,Ron Crumpton,47.69,2998
al,Coosa County,R,1,1037,Richard Shelby,65.41,3375
al,Coosa County,D,1,1037,Ron Crumpton,34.58,1784
al,Covington County,R,1,1039,Richard Shelby,82.23,12644
al,Covington County,D,1,1039,Ron Crumpton,17.76,2732
al,Crenshaw County,R,1,1041,Richard Shelby,71.69,4389
al,Crenshaw County,D,1,1041,Ron Crumpton,28.3,1733
al,Cullman County,R,1,1043,Richard Shelby,86.08,31746
al,Cullman County,D,1,1043,Ron Crumpton,13.91,5131
al,Dale County,R,1,1045,Richard Shelby,74.7,13642
al,Dale County,D,1,1045,Ron Crumpton,25.29,4619
al,Dallas County,D,1,1047,Ron Crumpton,67.16,12380
al,Dallas County,R,1,1047,Richard Shelby,32.83,6053
al,DeKalb County,R,1,1049,Richard Shelby,81.1,20713
al,DeKalb County,D,1,1049,Ron Crumpton,18.89,4827
al,Elmore County,R,1,1051,Richard Shelby,75.75,27578
al,Elmore County,D,1,1051,Ron Crumpton,24.24,8825
al,Escambia County,R,1,1053,Richard Shelby,68.36,10195
al,Escambia County,D,1,1053,Ron Crumpton,31.63,4717
al,Etowah County,R,1,1055,Richard Shelby,72.43,31223
al,Etowah County,D,1,1055,Ron Crumpton,27.56,11880
al,Fayette County,R,1,1057,Richard Shelby,81.42,6547
al,Fayette County,D,1,1057,Ron Crumpton,18.57,1494
al,Franklin County,R,1,1059,Richard Shelby,75.27,8669
al,Franklin County,D,1,1059,Ron Crumpton,24.72,2847
al,Geneva County,R,1,1061,Richard Shelby,84.19,9579
al,Geneva County,D,1,1061,Ron Crumpton,15.8,1798
al,Greene County,D,1,1063,Ron Crumpton,80.66,3829
al,Greene County,R,1,1063,Richard Shelby,19.33,918
al,Hale County,D,1,1065,Ron Crumpton,59.19,4650
al,Hale County,R,1,1065,Richard Shelby,40.8,3206
al,Henry County,R,1,1067,Richard Shelby,69.96,5497
al,Henry County,D,1,1067,Ron Crumpton,30.03,2360
al,Houston County,R,1,1069,Richard Shelby,73.18,30320
al,Houston County,D,1,1069,Ron Crumpton,26.81,11108
al,Jackson County,R,1,1071,Richard Shelby,77.64,15716
al,Jackson County,D,1,1071,Ron Crumpton,22.35,4524
al,Jefferson County,D,1,1073,Ron Crumpton,52.07,151501
al,Jefferson County,R,1,1073,Richard Shelby,47.92,139452
al,Lamar County,R,1,1075,Richard Shelby,83.35,5629
al,Lamar County,D,1,1075,Ron Crumpton,16.64,1124
al,Lauderdale County,R,1,1077,Richard Shelby,69.94,26933
al,Lauderdale County,D,1,1077,Ron Crumpton,30.05,11571
al,Lawrence County,R,1,1079,Richard Shelby,70.96,10155
al,Lawrence County,D,1,1079,Ron Crumpton,29.03,4154
al,Lee County,R,1,1081,Richard Shelby,63.14,36368
al,Lee County,D,1,1081,Ron Crumpton,36.85,21223
al,Limestone County,R,1,1083,Richard Shelby,74.13,28953
al,Limestone County,D,1,1083,Ron Crumpton,25.86,10101
al,Lowndes County,D,1,1085,Ron Crumpton,71.34,4579
al,Lowndes County,R,1,1085,Richard Shelby,28.65,1839
al,Macon County,D,1,1087,Ron Crumpton,82.5,7121
al,Macon County,R,1,1087,Richard Shelby,17.49,1510
al,Madison County,R,1,1089,Richard Shelby,60.93,97452
al,Madison County,D,1,1089,Ron Crumpton,39.06,62478
al,Marengo County,D,1,1091,Ron Crumpton,50.58,5410
al,Marengo County,R,1,1091,Richard Shelby,49.41,5285
al,Marion County,R,1,1093,Richard Shelby,84.57,10752
al,Marion County,D,1,1093,Ron Crumpton,15.42,1961
al,Marshall County,R,1,1095,Richard Shelby,82.87,28519
al,Marshall County,D,1,1095,Ron Crumpton,17.12,5892
al,Mobile County,R,1,1097,Richard Shelby,57.96,93678
al,Mobile County,D,1,1097,Ron Crumpton,42.03,67944
al,Monroe County,R,1,1099,Richard Shelby,57.92,5828
al,Monroe County,D,1,1099,Ron Crumpton,42.07,4233
al,Montgomery County,D,1,1101,Ron Crumpton,61.34,57741
al,Montgomery County,R,1,1101,Richard Shelby,38.65,36391
al,Morgan County,R,1,1103,Richard Shelby,75.25,37356
al,Morgan County,D,1,1103,Ron Crumpton,24.74,12284
al,Perry County,D,1,1105,Ron Crumpton,70.99,3654
al,Perry County,R,1,1105,Richard Shelby,29,1493
al,Pickens County,R,1,1107,Richard Shelby,57.93,5382
al,Pickens County,D,1,1107,Ron Crumpton,42.06,3908
al,Pike County,R,1,1109,Richard Shelby,60.9,7820
al,Pike County,D,1,1109,Ron Crumpton,39.09,5020
al,Randolph County,R,1,1111,Richard Shelby,75.45,7447
al,Randolph County,D,1,1111,Ron Crumpton,24.54,2422
al,Russell County,D,1,1113,Ron Crumpton,50.2,9485
al,Russell County,R,1,1113,Richard Shelby,49.79,9406
al,Shelby County,R,1,1117,Richard Shelby,75.47,75163
al,Shelby County,D,1,1117,Ron Crumpton,24.52,24429
al,St. Clair County,R,1,1115,Richard Shelby,82.54,31197
al,St. Clair County,D,1,1115,Ron Crumpton,17.45,6597
al,Sumter County,D,1,1119,Ron Crumpton,73.54,4604
al,Sumter County,R,1,1119,Richard Shelby,26.45,1656
al,Talladega County,R,1,1121,Richard Shelby,61.81,20429
al,Talladega County,D,1,1121,Ron Crumpton,38.18,12618
al,Tallapoosa County,R,1,1123,Richard Shelby,69.66,12769
al,Tallapoosa County,D,1,1123,Ron Crumpton,30.33,5559
al,Tuscaloosa County,R,1,1125,Richard Shelby,61.23,49899
al,Tuscaloosa County,D,1,1125,Ron Crumpton,38.76,31586
al,Walker County,R,1,1127,Richard Shelby,80.81,23362
al,Walker County,D,1,1127,Ron Crumpton,19.18,5545
al,Washington County,R,1,1129,Richard Shelby,70.32,5819
al,Washington County,D,1,1129,Ron Crumpton,29.67,2455
al,Wilcox County,D,1,1131,Ron Crumpton,67.93,3846
al,Wilcox County,R,1,1131,Richard Shelby,32.06,1815
al,Winston County,R,1,1133,Richard Shelby,87.43,8814
al,Winston County,D,1,1133,Ron Crumpton,12.56,1267
ar,Arkansas County,R,5,5001,John Boozman,59.89,3683
ar,Arkansas County,D,5,5001,Conner Eldridge,38.07,2341
ar,Arkansas County,Lib,5,5001,Frank Gilbert,2.03,125
ar,Ashley County,R,5,5003,John Boozman,66.07,5106
ar,Ashley County,D,5,5003,Conner Eldridge,30.36,2346
ar,Ashley County,Lib,5,5003,Frank Gilbert,3.55,275
ar,Baxter County,R,5,5005,John Boozman,73.15,14051
ar,Baxter County,D,5,5005,Conner Eldridge,22,4227
