Percentage_I_2004,Percentage_R_2004,County_FIPS,Percentage_D_2008,Percentage_R_2008,Percentage_D_2012,Percentage_I_2012,Percentage_R_2012,Percentage_D_2016,Percentage_I_2016,Percentage_R_2016,County,Inc_2013,Inc_2014,Inc_2015,Inc_Rank,Pct_Chg_2014,Pct_Chg_2015,Pct_Rank,State,Name,Labor_Force,Employed,Unemp_Level,Unemp_Rate,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black,pct_no_hs,pct_some_hs,pct_hs,pct_some_college,pct_associates,pct_bachelors,pct_graduate,pct_hs_less,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
6.0,76.0,1001.0,26.0,74.0,26.6,0.266666666667,72.6,23.95,1.3,73.43,Autauga,35345.0,36571.0,37773.0,8.0,3.5,3.3,26.0,AL," Autauga County, AL                       ","     25,859 ","     24,556 ","    1,303 ",5.0,55136.0,48.6,51.4,16.3,2.5,76.2,18.4,2.88298163881,8.37215675528,34.7793916141,19.9835571389,6.89778021376,14.398465333,12.6856673061,46.0345300082,0.0,10.0,70.0,0.0,2016.0,1.0,,855.0,10674.0,10707.0,10752.0,95217242.0,42199322.0,680960.0,684.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,22.0,2.6,355.0,3.4,389.0,3.8,409.0,4.0,4474074.0,4.9,2350395.0,5.9,-87155.0,-11.3,8.0,1.2
6.0,76.0,1003.0,24.0,76.0,21.6,0.333333333333,77.4,19.56,1.54,77.35,Baldwin,37727.0,39028.0,40121.0,5.0,3.4,2.8,40.0,AL," Baldwin County, AL                       ","     90,481 ","     85,916 ","    4,565 ",5.0,191205.0,48.8,51.2,21.9,4.5,83.2,9.3,2.15322322559,7.04337057702,31.7062989606,20.8713075178,8.72768509371,20.9847082887,8.51340633653,40.9028927632,0.0,10.0,70.0,0.0,2016.0,1.0,,5740.0,65729.0,66796.0,69110.0,543699056.0,301640185.0,4228162.0,622.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,271.0,5.0,2692.0,4.3,2716.0,4.2,2675.0,4.0,20912856.0,4.0,15227169.0,5.3,-1099294.0,-20.6,-1.0,-0.2
11.25,55.0,1005.0,49.0,51.0,51.3,0.166666666667,48.3,46.66,0.53,52.27,Barbour,30081.0,30197.0,31443.0,46.0,0.4,4.1,6.0,AL," Barbour County, AL                       ","      8,622 ","      7,921 ",      701 ,8.1,27119.0,53.7,46.3,18.9,4.7,46.1,46.2,9.85502524841,19.6394635391,38.6599337569,13.9436390292,6.84150513113,7.24330781343,3.81712548189,68.1544225444,0.0,10.0,70.0,0.0,2016.0,1.0,,558.0,7996.0,7996.0,7980.0,68266147.0,37876625.0,570948.0,657.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.2,-115.0,-1.4,-149.0,-1.8,-265.0,-3.2,-967101.0,-1.4,670.0,0.0,-224258.0,-28.2,5.0,0.8
7.0,72.0,1007.0,27.0,73.0,26.2,0.266666666667,73.1,21.42,0.8,76.96,Bibb,27375.0,28127.0,29075.0,62.0,2.7,3.4,22.0,AL," Bibb County, AL                          ","      8,645 ","      8,094 ",      551 ,6.4,22653.0,53.9,46.1,17.5,2.0,74.8,21.1,6.66145222266,14.4309737974,46.7018641637,17.2728457828,4.87550514926,5.69026202581,4.3670968583,67.7942901838,0.0,10.0,70.0,0.0,2016.0,1.0,,338.0,4147.0,4131.0,4213.0,38888960.0,17775152.0,328942.0,718.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,1.5,156.0,3.9,172.0,4.3,156.0,3.8,3771845.0,10.7,1577911.0,9.7,-31636.0,-8.8,43.0,6.4
4.75,81.0,1009.0,15.0,84.0,12.3,0.366666666667,86.5,8.46,0.835,89.85,Blount,29846.0,30946.0,31663.0,42.0,3.7,2.3,55.0,AL," Blount County, AL                        ","     25,034 ","     23,756 ","    1,278 ",5.1,57645.0,49.6,50.4,20.1,8.5,88.2,1.5,5.08623503126,13.275424899,32.3927396882,21.971731981,11.7239474807,10.7222654583,4.82765546155,50.7543996184,0.0,10.0,70.0,0.0,2016.0,1.0,,747.0,8072.0,8089.0,8146.0,65463160.0,33394075.0,416977.0,622.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,19.0,2.6,179.0,2.3,180.0,2.3,151.0,1.9,2160695.0,3.4,1737961.0,5.5,-96863.0,-18.9,8.0,1.3
17.0,32.0,1011.0,74.0,26.0,76.3,0.1,23.5,75.09,0.335,24.22,Bullock,26008.0,25350.0,25929.0,67.0,-2.5,2.3,56.0,AL," Bullock County, AL                       ","      5,109 ","      4,742 ",      367 ,7.2,10693.0,54.2,45.8,18.5,4.0,22.2,71.4,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,144.0,2844.0,2889.0,2924.0,22084424.0,12346640.0,276772.0,589.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.4,-38.0,-1.3,-21.0,-0.7,-43.0,-1.4,209256.0,1.0,67301.0,0.5,-44767.0,-13.9,13.0,2.3
10.25,59.0,1013.0,43.0,57.0,46.1,0.133333333333,53.6,42.78,0.44,56.31,Butler,31572.0,32775.0,33518.0,31.0,3.8,2.3,57.0,AL," Butler County, AL                        ","      9,249 ","      8,643 ",      606 ,6.6,20523.0,46.7,53.3,21.3,1.1,53.6,43.7,9.20775882215,10.7034353821,41.4115447534,15.5254342915,10.8358650775,6.26314559477,6.05281607852,61.3227389577,0.0,10.0,70.0,0.0,2016.0,1.0,,485.0,6837.0,6820.0,6804.0,53897004.0,33095491.0,599859.0,608.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,18.0,3.9,103.0,1.5,25.0,0.4,-82.0,-1.2,1500284.0,2.9,999653.0,3.1,-175149.0,-22.6,16.0,2.7
8.5,66.0,1015.0,33.0,66.0,33.5,0.333333333333,65.5,27.85,1.45,69.23,Calhoun,31347.0,32448.0,33418.0,32.0,3.5,3.0,37.0,AL," Calhoun County, AL                       ","     46,186 ","     43,309 ","    2,877 ",6.2,117186.0,48.2,51.8,18.8,3.4,73.3,20.6,6.84552285455,11.1510837256,30.0789671757,26.9878934007,7.63647033309,9.67634939467,7.6237131157,48.0755737559,0.0,10.0,70.0,0.0,2016.0,1.0,,2497.0,43099.0,43219.0,43670.0,395065324.0,170963945.0,2672782.0,701.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,40.0,1.6,-228.0,-0.5,-336.0,-0.8,25.0,0.1,13166922.0,3.4,2270539.0,1.3,-759031.0,-22.1,26.0,3.9
10.25,59.0,1017.0,46.0,54.0,47.1,0.233333333333,52.2,41.82,0.76,56.63,Chambers,29498.0,30271.0,31282.0,48.0,2.6,3.3,23.0,AL," Chambers County, AL                      ","     15,511 ","     14,720 ",      791 ,5.1,34091.0,47.7,52.3,21.0,0.5,57.6,40.2,4.00888964869,13.2618172493,40.9052055731,24.4679032396,8.39815368835,5.10727412599,3.85075647491,58.1759124712,0.0,10.0,70.0,0.0,2016.0,1.0,,597.0,7941.0,8034.0,8064.0,67332497.0,35608598.0,452706.0,646.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,14.0,2.4,35.0,0.4,59.0,0.7,67.0,0.8,1345279.0,2.0,557255.0,1.6,-240870.0,-34.7,8.0,1.3
8.5,66.0,1019.0,24.0,75.0,21.8,0.5,76.8,14.51,0.805,83.87,Cherokee,30660.0,31688.0,32645.0,35.0,3.4,3.0,35.0,AL," Cherokee County, AL                      ","     11,461 ","     10,897 ",      564 ,4.9,26042.0,49.8,50.2,24.0,1.4,91.9,4.8,8.17201666258,14.3469737809,40.1617250674,20.3504043127,6.36486155354,6.05856407743,4.54545454545,62.6807155109,0.0,10.0,70.0,0.0,2016.0,1.0,,407.0,4957.0,4981.0,5055.0,39946277.0,20816753.0,321542.0,615.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-3.0,-0.7,-85.0,-1.7,-106.0,-2.1,-65.0,-1.3,-109234.0,-0.3,-370388.0,-1.7,-221165.0,-40.8,9.0,1.5
5.75,77.0,1021.0,21.0,79.0,19.5,0.266666666667,79.8,15.93,0.755,82.54,Chilton,29508.0,30304.0,31380.0,47.0,2.7,3.6,15.0,AL," Chilton County, AL                       ","     19,586 ","     18,541 ","    1,045 ",5.3,43781.0,49.3,50.7,17.6,7.7,80.7,10.1,8.0370942813,8.73432938348,44.4959642796,17.235102181,6.49493388288,9.54834277864,5.45423321312,61.2673879444,0.0,10.0,70.0,0.0,2016.0,1.0,,757.0,9025.0,9132.0,9203.0,74663265.0,42806957.0,812318.0,630.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,10.0,1.3,-83.0,-0.9,10.0,0.1,16.0,0.2,510906.0,0.7,731101.0,1.7,-164457.0,-16.8,6.0,1.0
11.5,54.0,1023.0,46.0,54.0,47.5,0.133333333333,52.1,42.77,0.39,56.43,Choctaw,29135.0,30025.0,31046.0,51.0,3.1,3.4,19.0,AL," Choctaw County, AL                       ","      4,416 ","      4,063 ",      353 ,8.0,13546.0,47.8,52.2,24.2,0.4,55.7,43.2,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,287.0,3283.0,3300.0,3322.0,37429002.0,17277611.0,229609.0,872.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8.0,2.9,-60.0,-1.8,-4.0,-0.1,-45.0,-1.3,-1431389.0,-3.7,-305180.0,-1.7,-75388.0,-24.7,-24.0,-2.7
10.25,59.0,1025.0,44.0,56.0,45.7,0.133333333333,54.0,44.15,0.44,54.95,Clarke,29823.0,31193.0,31877.0,40.0,4.6,2.2,58.0,AL," Clarke County, AL                        ","      7,942 ","      7,111 ",      831 ,10.5,25331.0,47.2,52.8,20.6,0.4,53.5,45.0,4.27118644068,15.8474576271,45.988700565,17.4293785311,4.9209039548,5.8813559322,5.66101694915,66.1073446328,0.0,10.0,70.0,0.0,2016.0,1.0,,656.0,8049.0,8039.0,8153.0,72487813.0,36433534.0,465215.0,690.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-3.0,-0.5,-129.0,-1.6,-141.0,-1.7,-250.0,-3.0,-1427902.0,-1.9,-1493191.0,-3.9,-172940.0,-27.1,1.0,0.1
7.5,70.0,1027.0,26.0,73.0,26.7,0.333333333333,72.3,18.77,0.815,79.58,Clay,30484.0,31720.0,32965.0,34.0,4.1,3.9,11.0,AL," Clay County, AL                          ","      5,773 ","      5,455 ",      318 ,5.5,13617.0,49.1,50.9,23.1,3.1,80.0,14.6,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,212.0,3860.0,3869.0,3901.0,30893444.0,17387577.0,197114.0,613.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,2.4,4.0,0.1,-1.0,0.0,44.0,1.1,1156071.0,3.9,689523.0,4.1,-130415.0,-39.8,21.0,3.5
6.0,76.0,1029.0,18.0,81.0,15.4,0.333333333333,83.6,10.47,0.835,87.84,Cleburne,29942.0,30692.0,31209.0,49.0,2.5,1.7,61.0,AL," Cleburne County, AL                      ","      5,995 ","      5,663 ",      332 ,5.5,14990.0,49.2,50.8,21.7,2.2,92.7,2.9,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,212.0,2204.0,2193.0,2242.0,21763877.0,10331069.0,263223.0,757.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,3.4,31.0,1.4,10.0,0.5,71.0,3.3,439309.0,2.1,-51332.0,-0.5,-30449.0,-10.4,3.0,0.4
6.5,74.0,1031.0,26.0,74.0,24.8,0.333333333333,74.2,20.44,1.2,77.14,Coffee,37126.0,37974.0,38929.0,6.0,2.3,2.5,49.0,AL," Coffee County, AL                        ","     20,835 ","     19,678 ","    1,157 ",5.6,50726.0,49.6,50.4,18.2,6.4,71.8,16.9,4.51578916562,8.86183382598,28.2653867541,24.2178582926,10.9016945184,16.0028095642,7.23462787907,41.6430097457,0.0,10.0,70.0,0.0,2016.0,1.0,,1062.0,14916.0,15055.0,15052.0,118995605.0,70071134.0,1120459.0,610.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,21.0,2.0,-45.0,-0.3,28.0,0.2,-54.0,-0.4,1568894.0,1.3,1034433.0,1.5,-288359.0,-20.5,9.0,1.5
11.25,55.0,1033.0,39.0,60.0,39.2,0.433333333333,59.6,29.62,1.24,67.88,Colbert,33566.0,34957.0,35831.0,17.0,4.1,2.5,50.0,AL," Colbert County, AL                       ","     23,721 ","     22,148 ","    1,573 ",6.6,54491.0,48.4,51.6,21.7,2.3,79.1,15.9,5.47093403005,11.5898105813,39.8301763553,19.4173742652,7.29719137818,10.1868060091,6.2077073808,56.8909209667,0.0,10.0,70.0,0.0,2016.0,1.0,,1285.0,23673.0,23773.0,23970.0,237564914.0,117479524.0,2063770.0,768.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1.0,-0.1,585.0,2.5,509.0,2.2,388.0,1.6,1833074.0,0.8,5005153.0,4.5,-389254.0,-15.9,-10.0,-1.3
11.25,55.0,1035.0,50.0,50.0,50.6,0.133333333333,49.0,46.9,0.46,52.16,Conecuh,28754.0,28624.0,29643.0,59.0,-0.5,3.6,14.0,AL," Conecuh County, AL                       ","      4,742 ","      4,350 ",      392 ,8.3,12985.0,47.6,52.4,23.7,1.6,51.1,44.8,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,251.0,3447.0,3416.0,3409.0,27821874.0,15624851.0,255950.0,625.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1.0,-0.4,-30.0,-0.9,-60.0,-1.7,-150.0,-4.2,277298.0,1.0,-41711.0,-0.3,-91105.0,-26.3,20.0,3.3
10.5,58.0,1037.0,41.0,59.0,41.7,0.166666666667,57.8,34.08,0.635,64.63,Coosa,26605.0,27340.0,28651.0,65.0,2.8,4.8,2.0,AL," Coosa County, AL                         ","      4,483 ","      4,226 ",      257 ,5.7,11247.0,51.2,48.8,20.9,2.1,65.0,31.3,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,120.0,1292.0,1299.0,1312.0,10992208.0,5921858.0,108223.0,650.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6.0,5.3,17.0,1.3,29.0,2.3,26.0,2.0,434473.0,4.1,217741.0,3.8,-13961.0,-11.4,14.0,2.2
6.0,76.0,1039.0,21.0,79.0,20.5,0.233333333333,78.8,15.03,0.68,83.58,Covington,30347.0,31196.0,31581.0,45.0,2.8,1.2,64.0,AL," Covington County, AL                     ","     16,026 ","     14,992 ","    1,034 ",6.5,37881.0,48.4,51.6,23.3,1.5,83.6,12.8,8.55784469097,15.0177345106,32.205116595,22.7303599728,8.81442909969,9.18798581239,3.48652931854,55.7806957965,0.0,10.0,70.0,0.0,2016.0,1.0,,898.0,12001.0,11949.0,12086.0,97325277.0,54030825.0,1305496.0,623.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,-47.0,-0.4,-153.0,-1.3,-12.0,-0.1,1423219.0,1.5,134615.0,0.2,-105699.0,-7.5,12.0,2.0
