County_FIPS,D,I,R
1001.0,23.95,1.3,73.43
1003.0,19.56,1.54,77.35
1005.0,46.66,0.53,52.27
1007.0,21.42,0.8,76.96
1009.0,8.46,0.835,89.85
1011.0,75.09,0.335,24.22
1013.0,42.78,0.44,56.31
1015.0,27.85,1.45,69.23
1017.0,41.82,0.76,56.63
1019.0,14.51,0.805,83.87
1021.0,15.93,0.755,82.54
1023.0,42.77,0.39,56.43
1025.0,44.15,0.44,54.95
1027.0,18.77,0.815,79.58
1029.0,10.47,0.835,87.84
1031.0,20.44,1.2,77.14
1033.0,29.62,1.24,67.88
1035.0,46.9,0.46,52.16
1037.0,34.08,0.635,64.63
1039.0,15.03,0.68,83.58
1041.0,26.59,0.62,72.15
1043.0,10.0,1.085,87.81
1045.0,23.67,1.1,74.11
1047.0,68.47,0.315,30.88
1049.0,14.11,1.19,83.48
1051.0,22.85,1.145,74.83
1053.0,30.88,0.76,67.58
1055.0,23.8,1.135,73.91
1057.0,16.56,0.805,81.8
1059.0,18.37,1.22,79.18
1061.0,13.05,0.725,85.48
1063.0,82.39,0.18,17.23
1065.0,59.57,0.405,39.6
1067.0,28.51,0.67,70.13
1069.0,25.09,1.085,72.72
1071.0,17.62,1.15,80.07
1073.0,52.24,1.36,45.02
1075.0,14.93,0.55,83.95
1077.0,25.44,1.54,71.45
1079.0,24.69,0.955,73.39
1081.0,36.39,2.04,59.51
1083.0,23.7,1.56,73.15
1085.0,73.12,0.315,26.22
1087.0,82.72,0.66,15.93
1089.0,39.15,2.455,55.93
1091.0,51.21,0.525,47.71
1093.0,11.09,0.8,87.3
1095.0,14.05,1.19,83.56
1097.0,41.88,1.18,55.74
1099.0,42.31,0.505,56.66
1101.0,62.03,1.04,35.87
1103.0,22.43,1.38,74.79
1105.0,72.74,0.27,26.69
1107.0,41.83,0.355,57.44
1109.0,38.68,1.165,58.97
1111.0,22.6,0.7,75.98
1113.0,50.04,0.905,48.12
1115.0,14.62,1.06,83.24
1117.0,23.11,1.725,73.42
1119.0,74.15,0.55,24.73
1121.0,36.45,0.77,62.0
1123.0,28.48,0.715,70.07
1125.0,38.85,1.375,58.37
1127.0,15.34,0.935,82.78
1129.0,27.86,0.55,71.01
1131.0,71.02,0.235,28.49
1133.0,8.49,0.77,89.95
4001.0,65.36,3.07,28.48
4003.0,35.43,3.26,58.02
4005.0,56.32,3.39,36.88
4007.0,31.52,2.285,63.89
4009.0,27.64,2.565,67.21
4011.0,33.67,3.985,58.34
4012.0,26.72,2.345,68.56
4013.0,45.67,2.59,49.12
4015.0,22.22,2.05,73.67
4017.0,43.38,2.655,51.3
4019.0,54.23,2.505,40.75
4021.0,38.09,2.24,57.41
4023.0,71.57,1.975,24.45
4025.0,32.01,2.265,63.44
4027.0,44.98,2.25,50.5
5001.0,31.21,1.195,61.58
5003.0,29.79,0.69,66.03
5005.0,21.09,0.766666666667,74.27
5007.0,28.88,1.36,62.91
5009.0,18.16,0.976666666667,75.94
5011.0,36.06,0.778333333333,59.22
5013.0,28.09,0.54,68.63
5015.0,31.05,0.971666666667,63.08
5017.0,56.27,0.433333333333,41.09
5019.0,42.39,0.975,51.71
5021.0,33.32,0.606666666667,63.0
5023.0,17.39,0.72,78.25
5025.0,21.56,0.835,73.38
5027.0,35.33,0.541666666667,61.39
5029.0,33.51,0.883333333333,61.15
